District,Place Name,Alternate Name,Category,Subcategory,Approximate Location,Latitude,Longitude,Short Description,Why Tourism-Relevant,Verification Level,Primary Source,Secondary Source,Existing Duplicate?,Existing Place ID / Slug,Duplicate / Conflict Notes,Current Status,Recommended Action
Begusarai,Simaria Ghat & Dinkar Memorial,Simaria Ganga Ghat,cultural,Sacred Riverfront & Literary Memorial,"Simaria, Barauni",25.4382,85.9921,"Sacred Ganga bathing ghat, historic venue of the Simaria Kalpwas / Kumbh Mela, and birthplace/memorial of national poet (Rashtrakavi) Ramdhari Singh 'Dinkar'.",Major cultural and spiritual ghat on Ganga with recently renovated riverfront promenade and Dinkar memorial library.,A,Bihar Tourism (tourism.bihar.gov.in) & District Administration Begusarai,"Department of Art, Culture and Youth Bihar",NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Bhagalpur,Bateshwar Sthan & Patharghata Caves,Patalpuri Cave / Patharghata Hill,historical,Cave Temple & Archaeological Hill / ASI Monument,"Madhorampur, Kahalgaon",25.3341,87.2712,"Scenic rocky promontory overlooking the confluence of Ganga, Kosi, and Kalbalia rivers with 8th-century rock-cut sculptures, Patalpuri cave, and ancient monastery ruins.","ASI Centrally Protected Monument, featured in Kalidasa's Kumarasambhava.",A,"Archaeological Survey of India (ASI Patna Circle, Monument #4 & #5)",Bihar Tourism,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Bhagalpur,Bhagalpuri Silk Weaver Cluster,Nathnagar Tussar Silk Village,cultural,Artisan Village / GI Craft Centre,"Nathnagar / Champanagar, Bhagalpur",25.2285,86.9312,"Centuries-old silk weaving village where traditional weavers produce world-renowned GI-tagged Bhagalpuri Tussar Silk, Matka silk, and organic fabrics.",Official Geographical Indication (GI) craft hub and textile heritage tourism center.,A,Ministry of Textiles / GI Registry of India,Bihar Tourism Culture Layer,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Bhagalpur,Champanagar Ancient Capital & Jain Tirth,Champa Garh / Karna Garh,cultural,Ancient Capital & Sacred Jain Tirth,"Champanagar, western Bhagalpur city",25.2312,86.9245,Ancient fortified capital of Anga Kingdom (ruled by King Karna of Mahabharata fame) and holy birthplace and Nirvana site of 12th Jain Tirthankara Vasupujya.,Major pilgrimage destination on the Jain Circuit and ancient urban archaeological mound.,A,Bihar Tourism Jain Circuit (tourism.bihar.gov.in),District Administration Bhagalpur,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Bhagalpur,Kahalgaon Rock-Cut Temples,Colgong Rock Temple,historical,Rock-Cut Cave Temple / ASI Monument,"Kahalgaon, in river Ganga",25.2689,87.2345,"Ancient 8th-century monolithic rock-cut cave temple standing on an isolated granite outcrop in the river Ganga, reminiscent of Mahabalipuram shore temples.",ASI Centrally Protected Monument of National Importance.,A,"Archaeological Survey of India (ASI Patna Circle, Monument #3)",District Administration Bhagalpur,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Bhagalpur,Kuppa Ghat & Maharshi Mehi Ashram,Kuppaghat Cave Ashram,cultural,Spiritual Ashram & Underground Caves,"Barari, on the bank of Ganga, Bhagalpur",25.2512,87.0124,"Peaceful spiritual hermitage of Sant Maharshi Mehi Paramhans on the high bank of Ganga, featuring subterranean meditation caves, orchard gardens, and library.",Prominent spiritual tourism retreat visited by thousands of seekers.,A,District Administration Bhagalpur (bhagalpur.nic.in),Bihar Tourism Spiritual records,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Bhagalpur,Sultanganj Ajgaibinath Temple,Ajgaivinath Dham / Gaibi Baba,temple,Island Temple on River Ganga,"Sultanganj, on the southern bank of Ganga",25.2458,86.7389,Sacred Shiva temple perched on a rocky island in the middle of river Ganga with ancient rock carvings; traditional starting point where Kanwariyas collect holy Ganga water for the 105 km trek to Baba Baidyanath Dham (Deoghar).,"Massive cultural and religious importance, drawing millions of pilgrims annually during the Shravani Mela.",A,Bihar Tourism (tourism.bihar.gov.in) & District Administration Bhagalpur,ASI / State Archaeology,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Bhagalpur,Vikramshila Gangetic Dolphin Sanctuary,Gangetic Dolphin Reserve,nature,Aquatic Wildlife Sanctuary,Sultanganj to Kahalgaon stretch of River Ganga (60 km),25.2912,87.0215,"India's only protected sanctuary dedicated to the endangered South Asian River Dolphin (Platanista gangetica - India's National Aquatic Animal), along with smooth-coated otters and gharials.",Globally unique eco-tourism and river safari destination.,A,"Ministry of Environment, Forest and Climate Change / Bihar Forest Dept",Bihar Tourism Eco Circuit,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Bhagalpur,Vikramshila University Ruins,Ancient Vikramashila Mahavihara,historical,Ancient Buddhist University / ASI Monument,"Antichak, Kahalgaon subdivision, 40 km east of Bhagalpur",25.3297,87.2830,"World-renowned ancient Buddhist monastic university founded by Pala Emperor Dharmapala in 8th century CE, featuring gigantic cruciform stupa, central monastery, terracotta plaques, and library.",Foremost national archaeological site and anchor of the Buddhist Circuit in eastern Bihar.,A,"Archaeological Survey of India (ASI Patna Circle, Monument #2)",UNESCO Tentative List / Bihar Tourism,YES,ID 11 (vikramshila-university-ruins),Already in HiddenYatra as place ID 11.,EXISTING,KEEP EXISTING
Bhojpur,Ara House,Arrah House / Maharaja College Compound,historical,Colonial Heritage / 1857 Siege Site,"Maharaja College compound, Ara",25.5645,84.6712,Historic two-storey billiard room where 68 British soldiers and loyalists withstood an 8-day siege by Veer Kunwar Singh's forces in July 1857.,Bihar State Protected Monument with rich archival relevance for 1857 history.,A,Bihar State Archaeology Department,ASI Historical Records / District Portal,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Bhojpur,Aranya Devi Temple,Maa Aranya Devi Mandir,temple,Historic Shakti Temple,"Ara city centre, Bhojpur",25.5612,84.6645,"Ancient temple of the presiding goddess of Ara city, worshipped since the Mahabharata era when the Pandavas are said to have stayed in the Aranya forest.","Chief religious and cultural landmark of Bhojpur district, featured on bhojpur.nic.in.",A,District Administration Bhojpur (bhojpur.nic.in),Bihar Tourism Religious records,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Bhojpur,Bhaluni Dham,Parvati Mandir Bhaluni,temple,Historic Temple & Mela Grounds,"Bikramganj-Tarari border, Bhojpur",25.2154,84.3821,Ancient temple dedicated to Goddess Parvati and Shiva with an extensive sacred pond and traditional annual fair.,Prominent rural pilgrimage site in southern Bhojpur.,B,District Administration Bhojpur,Regional pilgrimage records,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Bhojpur,"Sun Temple, Tarari",Surya Mandir Dev,temple,Ancient Sun Temple,"Dev village, Tarari block, Bhojpur",25.3125,84.4215,"Ancient stone Sun temple housing an antique stone idol of Surya Dev with sacred Surya Kund, drawing major crowds during Chhath.",Official place of interest on district administration portal.,A,District Administration Bhojpur (bhojpur.nic.in/tourist-place/sun-temple-tarari/),Local cultural archives,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Bhojpur,"Veer Kunwar Singh Fort, Jagdishpur",Jagdishpur Qila,historical,Historical Fort & 1857 Memorial,"Jagdishpur, 28 km south-west of Ara",25.4667,84.4167,"Historical ancestral fort of Babu Veer Kunwar Singh, heroic 80-year-old military commander of the 1857 War of Independence, with weapons museum, moat, and memorial.","Iconic national freedom movement heritage monument, State Protected site.",A,Bihar State Archaeology & District Administration (bhojpur.nic.in),National Archives of India,YES,ID 28 (veer-kunwar-singh-fort-jagdishpur),Already in HiddenYatra as place ID 28.,EXISTING,KEEP EXISTING
Buxar,Ahirauli Ahilya Sthan,Ahilya Dham Ahirauli,temple,Ramayana Circuit Site,"Ahirauli village, 5 km from Buxar",25.5895,83.9512,Site believed to be the hermitage of Sage Gautama where Lord Rama delivered Ahilya from her stone curse.,Core Ramayana Circuit destination in Bihar.,A,Bihar Tourism Ramayana Circuit (tourism.bihar.gov.in),District Administration Buxar,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Buxar,Battle of Buxar Memorial,Katkauli Ka Maidan Memorial,historical,Historic Battlefield & Stone Memorial,"Katkauli, 6 km east of Buxar town",25.5621,83.9787,"Battlefield of the decisive 1764 Battle of Buxar between British East India Company (Hector Munro) and combined armies of Mir Qasim, Shuja-ud-Daula, and Shah Alam II.","Historic landmark that altered the course of Indian history, marked by a stone obelisk.",A,District Administration Buxar (buxar.nic.in/tourist-place/katkauli-ka-maidan/) & Bihar Tourism,ASI Historical Records,YES,ID 23 (battle-of-buxar-memorial),Already in HiddenYatra as place ID 23.,EXISTING,KEEP EXISTING
Buxar,Bausagarh Mound,Nasratpur Ancient Fortified Mound,historical,Archaeological Site / State Protected,"Nasratpur, Buxar",25.5412,84.0512,Extensive archaeological fortified brick mound dating to ancient and medieval periods.,Bihar State Protected Monument.,A,Bihar State Archaeology Department,District Portal Buxar,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Buxar,"Bihari Ji Temple, Dumraon",Shri Bihariji Mandir,temple,Heritage Krishna Temple / Music Heritage,"Dumraon, Buxar",25.5512,84.1485,"Historic 1825 Krishna temple built by Maharaja of Dumraon, famous as the shrine where Bharat Ratna Ustad Bismillah Khan received musical inspiration and played shehnai in his childhood.",Unique cultural and music heritage site connecting classical music to temple tradition.,A,District Administration Buxar (buxar.nic.in/tourist-place/bihari-ji-temple/),Sangeet Natak Akademi Archives,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Buxar,"Brahmeshwar Nath Temple, Brahmpur",Baba Brahmeshwar Nath Dham,temple,Ancient Shiva Temple & Mela,"Brahmpur, 35 km east of Buxar",25.5921,84.2815,"Ancient temple dedicated to Lord Shiva, revered as self-manifested Swayambhu lingam; venue of Bihar's famous cattle and agricultural fair on Shivratri.",State-level religious pilgrimage destination officially documented on buxar.nic.in.,A,District Administration Buxar (buxar.nic.in),Bihar Tourism Pilgrimage Records,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Buxar,Chausa Battlefield & Monument,Chausa Battle Site,historical,Historic Battlefield,"Chausa, 11 km west of Buxar on Ganga bank",25.5142,83.8912,"Site of the historic Battle of Chausa (June 1539) where Sher Shah Suri defeated Mughal Emperor Humayun, assuming royal titles.",Crucial medieval Indian history battleground featured on district administration portal.,A,District Administration Buxar (buxar.nic.in/tourist-place/chausa-battle-field/),Bihar Tourism Heritage Circuit,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Buxar,Ramrekha Ghat,Ram Rekha Ganga Ghat,cultural,Sacred Riverfront Ghat,"Buxar town, on the southern bank of Ganga",25.5785,83.9812,Sacred Ganga bathing ghat where Lord Rama and Lakshmana are believed to have bathed after slaying demoness Tadaka with Sage Vishwamitra.,"Chief cultural, religious, and evening Aarti gathering point in Buxar; Ramayana Circuit stop.",A,District Administration Buxar (buxar.nic.in) & Bihar Tourism Ramayana Circuit,National Mission for Clean Ganga (NMCG),NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Darbhanga,"Ahilya Sthan, Ahiyari",Ahilya Dham,temple,Ramayana Heritage Temple,"Ahiyari village, Kamtaul, 24 km north-west of Darbhanga",26.2215,85.7485,Ancient temple associated with Sage Gautama's ashram where Lord Rama rested his sacred feet and redeemed Ahilya; venue of the historic Chaitra Navami Ram Navami mela.,Official Ramayana Circuit destination in Mithila.,A,District Administration Darbhanga (darbhanga.nic.in/tourist-place/ahilya-asthan/),Bihar Tourism Ramayana Circuit,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Darbhanga,Chandradhari Museum,Darbhanga State Museum,museum,State Museum / Cultural Heritage,"Station Road, Darbhanga town",26.1585,85.9012,"Established in 1957, housing 11 galleries with priceless collection of Mithila folk art, jade weapons, ivory artifacts, copper plates, bronze sculptures from Nalanda, and rare Mughal manuscripts.","Leading museum of North Bihar officially managed by Directorate of Museums, Government of Bihar.",A,Directorate of Museums Bihar & District Administration Darbhanga,Incredible India / Bihar Tourism,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Darbhanga,Darbhanga Raj Palace Complex,Laxmi Vilas Palace / Anand Bagh Palace,historical,Royal Palace Architecture,"Darbhanga city, Mithila",26.1494,85.8919,"Magnificent royal palace complex of the Darbhanga Raj (Khandavala Dynasty), built on the model of European palaces with grand ramparts, Italian marble sculptures, and lush gardens.",Symbol of Mithila royal heritage and premier architectural landmark of north-eastern Bihar.,A,Bihar Tourism (tourism.bihar.gov.in) & District Administration Darbhanga,Bihar State Heritage,YES,ID 26 (darbhanga-raj-laxmi-vilas-palace),Already in HiddenYatra as place ID 26.,EXISTING,KEEP EXISTING
Darbhanga,Kusheshwar Asthan Bird Sanctuary & Temple,Kusheshwar Asthan Wetland,nature,Wetland Sanctuary & Shiva Temple,"Kusheshwar Asthan block, 60 km south-east of Darbhanga",25.8125,86.1158,"7,000-acre natural wetland formed by confluence of Kamala, Kareh, and Kosi rivers, hosting thousands of endangered migratory birds (Dalmatian pelicans, bar-headed geese) alongside an ancient Shiva temple.",Major eco-tourism and birdwatching haven declared a wildlife sanctuary by Bihar Government in 1994.,A,Bihar Forest Department & District Administration Darbhanga,Bihar Tourism Eco Circuit,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Darbhanga,Nargona Palace,Nargona Royal Palace,historical,Art Deco Heritage Palace,Darbhanga city,26.1512,85.8895,"Built in 1934 following the Great Bihar Earthquake, it is India's first earthquake-proof royal residence with incorporated train platform and grand ballrooms.",Unique twentieth-century engineering and royal architectural landmark.,B,District Administration Darbhanga,Mithila Heritage Archives,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Darbhanga,Shyama Mai Temple,Shyama Kali Mandir,temple,Historic Tantric Goddess Temple,"L.N. Mithila University Campus, Darbhanga",26.1458,85.8985,Revered Kali temple built in 1933 by Maharaja Kameshwar Singh over the funeral pyre (chita) of his father Maharaja Rameshwar Singh; famous for wish-fulfillment and grand Navratri mela.,"Foremost religious destination in Darbhanga town, officially featured on darbhanga.nic.in.",A,District Administration Darbhanga (darbhanga.nic.in/tourist-place/shyama-kali-temple/),Bihar Tourism Cultural records,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
East Champaran,Areraj Someshwar Nath Temple & Ashokan Pillar,Lauriya Areraj Pillar / Someshwar Mandir,historical,Ashokan Pillar & Ancient Shiva Temple / ASI Monument,"Lauriya Areraj, 28 km south-west of Motihari",26.5412,84.7485,"36-foot monolithic polished sandstone Ashokan pillar erected in 249 BCE bearing Emperor Ashoka's Six Pillar Edicts, alongside the revered Someshwar Nath Shiva temple with eternal pond.",ASI Centrally Protected Monument and prominent Shravani pilgrimage centre.,A,"Archaeological Survey of India (ASI Patna Circle, Monument #6)",Bihar Tourism & District Administration,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
East Champaran,"Gandhi Memorial & Sangrahalaya, Motihari",Champaran Satyagraha Memorial,cultural,National Freedom Movement Memorial,Motihari town centre,26.6485,84.9125,"Historical 48-foot stone pillar memorial laid in 1972 by then Congress President Dr. Shankar Dayal Sharma, with an extensive museum documenting Mahatma Gandhi's 1917 Champaran Satyagraha.","Historic birthground of India's civil disobedience movement, official Gandhi Circuit anchor.",A,District Administration East Champaran (eastchamparan.nic.in) & Bihar Tourism Gandhi Circuit,National Gandhi Museum Archives,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
East Champaran,George Orwell Birthplace & Memorial,Eric Arthur Blair Birthplace,historical,Literary Heritage Bungalow,"Old Opium Department compound, Motihari",26.6452,84.9085,"Colonial bungalow where celebrated world author George Orwell (Eric Arthur Blair, author of 1984 and Animal Farm) was born on June 25, 1903; preserved with memorial gallery.",Internationally recognized literary tourism destination drawing global travelers and literature enthusiasts.,A,District Administration East Champaran (eastchamparan.nic.in/tourist-place/george-orwell-monument/),Department of Art and Culture Bihar,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
East Champaran,Kesariya Stupa,Ancient Kesaria Buddhist Stupa,historical,World's Tallest Buddhist Stupa / ASI Monument,"Tajpur Deur, Kesariya block, 40 km from Motihari",26.3290,84.8542,"Colossal 104-foot ancient Buddhist stupa, the tallest in the world, built by the Mauryans and expanded during Gupta and Pala dynasties; site where Buddha delivered his final teachings to the Licchavis.",Global Buddhist pilgrimage destination of national and international significance.,A,"Archaeological Survey of India (ASI Patna Circle, Monument #8)",Bihar Tourism Buddhist Circuit,YES,ID 18 (kesariya-stupa),Already in HiddenYatra as place ID 18.,EXISTING,KEEP EXISTING
East Champaran,Sagar Dih Mound & Stupa,Sagardih Fort,historical,Ancient Stupa & Fortified Mound / ASI Monument,"Sagardih, Raxaul subdivision",26.8541,84.8124,"Ancient brick stupa, defensive ramparts, and large historic tank dating to early centuries of the Common Era.",ASI Centrally Protected Monument of National Importance.,A,"Archaeological Survey of India (ASI Patna Circle, Monument #7)",District Portal East Champaran,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
