priority,rank,district,place_name,category,why_it_deserves_priority,evidence_strength,uniqueness,district_coverage_impact,primary_source_name,primary_source_url
P0,14,Lakhisarai,Ashok Dham Temple,temple,"Foremost pilgrimage landmark of Lakhisarai, drawing millions during Shravani Mela.",Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Unlocks completely unrepresented district (0 places currently),"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P0,15,Madhepura,Singheshwar Sthan Temple,temple,"Foremost cultural and religious destination in Kosi division, state-level pilgrimage landmark.",Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Unlocks completely unrepresented district (0 places currently),"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P0,16,Madhubani,Rajnagar Palace Complex,historical,"Foremost architectural heritage wonder of Mithila, featured on Bihar Tourism heritage circuit.",Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,Medium — Expands regional diversity,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P0,17,Madhubani,Saurath Sabha Gachhi,cultural,"Rare living anthropological and cultural heritage tradition in India, documented on madhubani.nic.in.",Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,Medium — Expands regional diversity,District Administration Madhubani (NIC Portal),https://madhubani.nic.in/tourist-places/
P0,18,Nalanda,"Jal Mandir, Pawapuri",temple,Foremost sacred pilgrimage center on the global Jain Circuit.,Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Fills major critical gap in high-tourism district,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P0,19,Nalanda,Vishwa Shanti Stupa & Ratnagiri Ropeway,cultural,"Prime landmark of Rajgir, iconic symbol of global peace visited by international dignitaries.",Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Fills major critical gap in high-tourism district,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P0,20,Purnia,Jalalgarh Fort,historical,"Bihar State Protected Monument, foremost historical fort in Seemanchal.",Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Unlocks completely unrepresented district (0 places currently),District Administration Purnia (NIC Portal),https://purnea.nic.in/tourist-places/
P0,21,Rohtas,Shergarh Fort,historical,Bihar State Protected Monument and adventure heritage destination.,Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Fills major critical gap in high-tourism district,District Administration Rohtas (NIC Portal),https://rohtas.nic.in/tourist-places/
P0,22,Rohtas,Tutla Bhawani Waterfall & Hanging Bridge,waterfall,"Flagship eco-tourism and adventure landscape in Bihar, developed by Environment & Forest Department.",Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Fills major critical gap in high-tourism district,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P0,23,Saharsa,"Shri Ugratara Sthan, Mahishi",temple,"Paramount spiritual and philosophical pilgrimage center in eastern Mithila, officially featured on saharsa.nic.in.",Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Unlocks completely unrepresented district (0 places currently),"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P0,24,Samastipur,Vidyapati Dham,cultural,"Foremost cultural and literary pilgrimage site of the Mithila region, officially featured on samastipur.nic.in.",Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Unlocks completely unrepresented district (0 places currently),"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P0,25,Saran,Chirand Archaeological Site,historical,"One of the most important prehistoric and ancient archaeological monuments in the Indian subcontinent, State Protected.",Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Unlocks completely unrepresented district (0 places currently),Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P0,26,Saran,Sonepur Hariharnath Temple & Mela Ground,cultural,Globally celebrated cultural festival and premier pilgrimage stop on Bihar Tourism calendar.,Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Unlocks completely unrepresented district (0 places currently),"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P0,27,Sheikhpura,"Sri Vishnu Dham, Samas",temple,"Prime religious and archaeological landmark in Sheikhpura district, drawing pilgrims from all over Bihar.",Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Unlocks completely unrepresented district (0 places currently),"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P0,28,Sheohar,"Baba Bhuwaneshwar Nath Temple, Dekuli",temple,"Foremost cultural and spiritual pilgrimage destination in Sheohar district, officially highlighted on sheohar.nic.in.",Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Unlocks completely unrepresented district (0 places currently),"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P0,29,Sitamarhi,Punaura Dham,temple,"National flagship pilgrimage center under Government of India's PRASAD scheme, major stop on Ramayana Circuit.",Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,Medium — Expands regional diversity,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P0,30,Siwan,Zeeradei (Dr. Rajendra Prasad Ancestral House),historical,"ASI Centrally Protected Monument of profound national importance, visited by national leaders.",Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Unlocks completely unrepresented district (0 places currently),Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P0,31,Supaul,"Kosi Barrage, Birpur",tourist_spot,Premier engineering landmark and scenic sunset tourism destination in Kosi division.,Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Unlocks completely unrepresented district (0 places currently),"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P0,32,Vaishali,"Ashokan Pillar & Ananda Stupa, Kolhua",historical,ASI Centrally Protected Monument of National Importance.,Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Fills major critical gap in high-tourism district,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P0,33,Vaishali,"Buddha Relic Stupa, Vaishali",historical,"One of the most sacred Buddhist archaeological sites in existence, ASI Centrally Protected Monument.",Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Fills major critical gap in high-tourism district,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P0,34,Vaishali,"Vishwa Shanti Stupa, Vaishali",cultural,Major landmark of international peace and Buddhist devotion.,Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Fills major critical gap in high-tourism district,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P0,35,West Champaran,Bhitiharwa Gandhi Ashram,historical,National freedom heritage monument and prime anchor of the official Gandhi Circuit in India.,Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Fills major critical gap in high-tourism district,"Ministry of Culture, Government of India",https://indiaculture.gov.in/
P0,36,West Champaran,Lauriya Nandangarh,historical,ASI Centrally Protected Monument of supreme national archaeological importance.,Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Fills major critical gap in high-tourism district,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P1,37,Araria,"Bio-Diversity Park, Kusiargaon",nature,State's pioneer biodiversity education and nature tourism centre situated on the East-West Highway Corridor.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Araria (NIC Portal),https://araria.nic.in/tourist-places/
P1,38,Araria,Phanishwar Nath Renu Smarak & Birthplace,cultural,Significant literary pilgrimage and cultural heritage site for Indian literature and Hindi culture.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Araria (NIC Portal),https://araria.nic.in/tourist-places/
P1,39,Arwal,Aganoor Mini Hydroelectric Project,tourist_spot,Official tourist attraction recognized on district government portal for technical and scenic interest.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Arwal (NIC Portal),https://arwal.nic.in/tourist-places/
P1,40,Aurangabad,Amjhar Sharif,cultural,Key stop on Bihar Tourism official Sufi Circuit.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P1,41,Aurangabad,Daud Khan Fort,historical,"Bihar State Protected Monument, major historical fort along Son river trade route.",Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P1,42,Aurangabad,Deokund,temple,Featured religious heritage site promoted by Bihar Tourism Ramayana / Spiritual circuit.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P1,43,Aurangabad,Tomb of Shamsher Khan,historical,ASI Centrally Protected Monument of National Importance in Bihar.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P1,44,Aurangabad,Umga Sun Temple & Rock Complex,historical,Major archaeological gem of Magadh region with historic inscriptions of King Bhairavendra.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P1,45,Banka,Chandan Dam,lake,Scenic eco-tourism and picnic destination highlighted in district portal.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Banka (NIC Portal),https://banka.nic.in/tourist-places/
P1,46,Banka,Jethor Nath Mandir,temple,Featured place of interest on official district portal.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Banka (NIC Portal),https://banka.nic.in/tourist-places/
P1,47,Banka,Papaharini Tank,lake,Integral component of the Mandar Hill tourism complex officially highlighted on banka.nic.in.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Banka (NIC Portal),https://banka.nic.in/tourist-places/
P1,48,Begusarai,Jaimangla Garh,historical,Bihar State Protected Monument and vital cultural-heritage complement to Kanwar Lake.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,District Administration Begusarai (NIC Portal),https://begusarai.nic.in/tourist-places/
P1,49,Begusarai,"Naulakha Temple, Begusarai",temple,Prime religious destination within Begusarai city.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,District Administration Begusarai (NIC Portal),https://begusarai.nic.in/tourist-places/
P1,50,Begusarai,Simaria Ghat & Dinkar Memorial,cultural,Major cultural and spiritual ghat on Ganga with recently renovated riverfront promenade and Dinkar memorial library.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P1,51,Bhagalpur,Bateshwar Sthan & Patharghata Caves,historical,"ASI Centrally Protected Monument, featured in Kalidasa's Kumarasambhava.",Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P1,52,Bhagalpur,Bhagalpuri Silk Weaver Cluster,cultural,Official Geographical Indication (GI) craft hub and textile heritage tourism center.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,Geographical Indications Registry of India,https://ipindia.gov.in/
P1,53,Bhagalpur,Champanagar Ancient Capital & Jain Tirth,cultural,Major pilgrimage destination on the Jain Circuit and ancient urban archaeological mound.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P1,54,Bhagalpur,Kahalgaon Rock-Cut Temples,historical,ASI Centrally Protected Monument of National Importance.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P1,55,Bhagalpur,Kuppa Ghat & Maharshi Mehi Ashram,cultural,Prominent spiritual tourism retreat visited by thousands of seekers.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,District Administration Bhagalpur (NIC Portal),https://bhagalpur.nic.in/tourist-places/
P1,56,Bhojpur,Ara House,historical,Bihar State Protected Monument with rich archival relevance for 1857 history.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,"Directorate of Archaeology, Bihar",https://yac.bihar.gov.in/
P1,57,Bhojpur,"Sun Temple, Tarari",temple,Official place of interest on district administration portal.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,District Administration Bhojpur (NIC Portal),https://bhojpur.nic.in/tourist-places/
P1,58,Buxar,Ahirauli Ahilya Sthan,temple,Core Ramayana Circuit destination in Bihar.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P1,59,Buxar,Bausagarh Mound,historical,Bihar State Protected Monument.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,"Directorate of Archaeology, Bihar",https://yac.bihar.gov.in/
P1,60,Buxar,"Bihari Ji Temple, Dumraon",temple,Unique cultural and music heritage site connecting classical music to temple tradition.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,District Administration Buxar (NIC Portal),https://buxar.nic.in/tourist-places/
P1,61,Buxar,"Brahmeshwar Nath Temple, Brahmpur",temple,State-level religious pilgrimage destination officially documented on buxar.nic.in.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,District Administration Buxar (NIC Portal),https://buxar.nic.in/tourist-places/
P1,62,Buxar,Ramrekha Ghat,cultural,"Chief cultural, religious, and evening Aarti gathering point in Buxar; Ramayana Circuit stop.",Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P1,63,Darbhanga,"Ahilya Sthan, Ahiyari",temple,Official Ramayana Circuit destination in Mithila.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,District Administration Darbhanga (NIC Portal),https://darbhanga.nic.in/tourist-places/
P1,64,Darbhanga,Chandradhari Museum,museum,"Leading museum of North Bihar officially managed by Directorate of Museums, Government of Bihar.",Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,District Administration Darbhanga (NIC Portal),https://darbhanga.nic.in/tourist-places/
P1,65,Darbhanga,Kusheshwar Asthan Bird Sanctuary & Temple,nature,Major eco-tourism and birdwatching haven declared a wildlife sanctuary by Bihar Government in 1994.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,District Administration Darbhanga (NIC Portal),https://darbhanga.nic.in/tourist-places/
P1,66,Darbhanga,Shyama Mai Temple,temple,"Foremost religious destination in Darbhanga town, officially featured on darbhanga.nic.in.",Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,District Administration Darbhanga (NIC Portal),https://darbhanga.nic.in/tourist-places/
P1,67,East Champaran,Areraj Someshwar Nath Temple & Ashokan Pillar,historical,ASI Centrally Protected Monument and prominent Shravani pilgrimage centre.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P1,68,East Champaran,"Gandhi Memorial & Sangrahalaya, Motihari",cultural,"Historic birthground of India's civil disobedience movement, official Gandhi Circuit anchor.",Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P1,69,East Champaran,George Orwell Birthplace & Memorial,historical,Internationally recognized literary tourism destination drawing global travelers and literature enthusiasts.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,District Administration East Champaran (NIC Portal),https://eastchamparan.nic.in/tourist-places/
P1,70,East Champaran,Sagar Dih Mound & Stupa,historical,ASI Centrally Protected Monument of National Importance.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P1,71,Gaya,Kauwadol Hill & Colossal Buddha Statue,historical,ASI Centrally Protected Monument of National Importance.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P1,72,Gaya,Koncheswar Mahadev Temple,historical,ASI Centrally Protected Monument of National Importance.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P1,73,Gaya,Kurkihar Archaeological Site,historical,ASI Centrally Protected Monument.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P1,74,Gaya,Mahabodhi Temple Complex & Bodhi Tree,historical,Most sacred Buddhist pilgrimage destination in the world.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,District Administration Gaya,https://gaya.nic.in/tourist-places/
P1,75,Gaya,Sujata Stupa & Kuti,historical,ASI Centrally Protected Monument on the international Buddhist circuit.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P1,76,Gopalganj,Dighwa Dubauli Archaeological Mounds,historical,Official historical tourist attraction on gopalganj.nic.in.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Gopalganj (NIC Portal),https://gopalganj.nic.in/tourist-places/
P1,77,Gopalganj,Lakri Dargah,cultural,Significant Sufi pilgrimage site officially documented on gopalganj.nic.in.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Gopalganj (NIC Portal),https://gopalganj.nic.in/tourist-places/
P1,78,Jamui,Nagi Dam Bird Sanctuary,nature,National-level conservation and eco-tourism landmark.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,Ramsar Wetlands Secretariat (UNESCO/IUCN),https://rsis.ramsar.org/
P1,79,Jehanabad,Baba Siddheshwarnath Temple,temple,"Foremost pilgrimage shrine in Jehanabad district, officially featured on jehanabad.nic.in.",Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Jehanabad (NIC Portal),https://jehanabad.nic.in/tourist-places/
P1,80,Jehanabad,Ghejan Buddhist Archaeological Site,historical,ASI Centrally Protected Monument of National Importance.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P1,81,Jehanabad,Hazrat Bibi Kamal Ka Maqbara,cultural,Significant historical Sufi shrine documented on official portal.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Jehanabad (NIC Portal),https://jehanabad.nic.in/tourist-places/
P1,82,Jehanabad,Nagarjuni Caves,historical,ASI Centrally Protected Monuments of National Importance.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P1,83,Kaimur,"Baidyanath Temple, Kaimur",historical,ASI Centrally Protected Monument and district tourist site.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P1,84,Kaimur,Kaimur Wildlife Sanctuary & Adhaura Hills,nature,Proposed second Tiger Reserve of Bihar and flagship eco-tourism region.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,"Department of Environment, Forest & Climate Change, Bihar",https://forest.bihar.gov.in/
P1,85,Kaimur,Tomb of Bakhtiyar Khan,historical,ASI Centrally Protected Monument of National Importance.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P1,86,Katihar,Gorakhnath Temple,temple,Key religious site officially promoted by District Administration Katihar.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Katihar (NIC Portal),https://katihar.nic.in/tourism/
P1,87,Katihar,Guru Tegh Bahadur Historic Gurdwara,cultural,Important pilgrimage shrine on the official Bihar Sikh Circuit.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
