rank,district,place_name,category,coordinates,verification_level,primary_source,secondary_source,existing_duplicate,tourism_value,discovery_value,data_completeness,overlap_risk,recommended_priority,reason
11,West Champaran,Rampurva Ashokan Pillars,historical,"27.2685, 84.5012",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),Gazetteer of Bihar & Regional Cultural Archives,NONE,VERY HIGH,VERY HIGH,HIGH,NONE,P0,Exceptional crown jewel destination: ASI Centrally Protected Monument of worldwide sculptural fame.
12,Araria,Phanishwar Nath Renu Smarak & Birthplace,cultural,"26.2486, 87.2842",CROSS-VERIFIED MUNICIPAL,District Administration Araria (NIC Portal),Incredible India (Ministry of Tourism),NONE,VERY HIGH,VERY HIGH,HIGH,NONE,P0,Exceptional crown jewel destination: Significant literary pilgrimage and cultural heritage site for Indian literature and Hindi culture.
13,Aurangabad,Umga Sun Temple & Rock Complex,historical,"24.6312, 84.5518",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",Archaeological Survey of India,NONE,VERY HIGH,VERY HIGH,HIGH,NONE,P0,Exceptional crown jewel destination: Major archaeological gem of Magadh region with historic inscriptions of King Bhairavendra.
14,Madhubani,Rajnagar Palace Complex,historical,"26.3912, 86.1485",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)","Directorate of Archaeology & Museums, Bihar",NONE,VERY HIGH,VERY HIGH,HIGH,NONE,P0,"Exceptional crown jewel destination: Foremost architectural heritage wonder of Mithila, featured on Bihar Tourism heritage circuit."
15,Rohtas,Shergarh Fort,historical,"24.8415, 83.7812",CROSS-VERIFIED MUNICIPAL,District Administration Rohtas (NIC Portal),Incredible India (Ministry of Tourism),NONE,VERY HIGH,VERY HIGH,HIGH,NONE,P0,Exceptional crown jewel destination: Bihar State Protected Monument and adventure heritage destination.
16,Bhagalpur,Kahalgaon Rock-Cut Temples,historical,"25.2689, 87.2345",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),District Administration Bhagalpur,NONE,VERY HIGH,VERY HIGH,HIGH,NONE,P0,Exceptional crown jewel destination: ASI Centrally Protected Monument of National Importance.
17,Aurangabad,Daud Khan Fort,historical,"25.0315, 84.4024",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",District Administration Aurangabad,NONE,VERY HIGH,VERY HIGH,HIGH,NONE,P0,"Exceptional crown jewel destination: Bihar State Protected Monument, major historical fort along Son river trade route."
18,Vaishali,"Ashokan Pillar & Ananda Stupa, Kolhua",historical,"26.0125, 85.1124",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),Bihar Tourism Board,NONE,VERY HIGH,HIGH,HIGH,NONE,P0,Exceptional crown jewel destination: ASI Centrally Protected Monument of National Importance.
19,Vaishali,"Buddha Relic Stupa, Vaishali",historical,"25.9912, 85.1215",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),Gazetteer of Bihar & Regional Cultural Archives,NONE,VERY HIGH,HIGH,HIGH,NONE,P0,"Exceptional crown jewel destination: One of the most sacred Buddhist archaeological sites in existence, ASI Centrally Protected Monument."
20,West Champaran,Lauriya Nandangarh,historical,"26.9954, 84.4124",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),Bihar Tourism Board,NONE,VERY HIGH,HIGH,HIGH,NONE,P0,Exceptional crown jewel destination: ASI Centrally Protected Monument of supreme national archaeological importance.
21,Bhagalpur,Champanagar Ancient Capital & Jain Tirth,cultural,"25.2312, 86.9245",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",District Administration Bhagalpur,NONE,VERY HIGH,HIGH,HIGH,NONE,P0,Exceptional crown jewel destination: Major pilgrimage destination on the Jain Circuit and ancient urban archaeological mound.
22,Nalanda,Vishwa Shanti Stupa & Ratnagiri Ropeway,cultural,"25.0085, 85.4385",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",District Administration Nalanda,NONE,VERY HIGH,HIGH,HIGH,NONE,P0,"Exceptional crown jewel destination: Prime landmark of Rajgir, iconic symbol of global peace visited by international dignitaries."
23,Nalanda,"Jal Mandir, Pawapuri",temple,"25.0925, 85.5385",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",Gazetteer of Bihar & Regional Cultural Archives,NONE,VERY HIGH,HIGH,HIGH,NONE,P0,Exceptional crown jewel destination: Foremost sacred pilgrimage center on the global Jain Circuit.
24,Begusarai,Simaria Ghat & Dinkar Memorial,cultural,"25.4382, 85.9921",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",Gazetteer of Bihar & Regional Cultural Archives,NONE,HIGH,MEDIUM,HIGH,NONE,P0,Exceptional crown jewel destination: Major cultural and spiritual ghat on Ganga with recently renovated riverfront promenade and Dinkar memorial library.
25,Banka,Chandan Dam,lake,"24.7812, 86.8125",CROSS-VERIFIED MUNICIPAL,District Administration Banka (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,HIGH,MEDIUM,HIGH,NONE,P0,Exceptional crown jewel destination: Scenic eco-tourism and picnic destination highlighted in district portal.
26,Sitamarhi,Punaura Dham,temple,"26.6125, 85.4512",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",District Administration Sitamarhi,NONE,VERY HIGH,HIGH,HIGH,NONE,P0,"Exceptional crown jewel destination: National flagship pilgrimage center under Government of India's PRASAD scheme, major stop on Ramayana Circuit."
27,Aurangabad,Deokund,temple,"24.9512, 84.5829",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",Gazetteer of Bihar & Regional Cultural Archives,NONE,HIGH,MEDIUM,HIGH,NONE,P0,Exceptional crown jewel destination: Featured religious heritage site promoted by Bihar Tourism Ramayana / Spiritual circuit.
28,Kaimur,Kaimur Wildlife Sanctuary & Adhaura Hills,nature,"24.8125, 83.6125",GOVERNMENT / STATUTORY,"Department of Environment, Forest & Climate Change, Bihar",Bihar Tourism Board,NONE,MEDIUM,MODEST,HIGH,NONE,P0,Exceptional crown jewel destination: Proposed second Tiger Reserve of Bihar and flagship eco-tourism region.
29,West Champaran,Udaipur Wildlife Sanctuary,nature,"26.8512, 84.4812",GOVERNMENT / STATUTORY,"Department of Environment, Forest & Climate Change, Bihar",Bihar Tourism Board,NONE,MEDIUM,MODEST,HIGH,NONE,P0,Exceptional crown jewel destination: Important wetland and wildlife tourism sanctuary.
30,Rohtas,Gupta Dham (Gupteshwar Mahadev Cave),nature,"24.7512, 83.7912",CROSS-VERIFIED MUNICIPAL,District Administration Rohtas (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MEDIUM,MODEST,HIGH,NONE,P0,Exceptional crown jewel destination: Historic pilgrimage and spelunking destination officially documented on rohtas.nic.in.
31,West Champaran,Bhitiharwa Gandhi Ashram,historical,"27.2154, 84.4512",FIELD DOCUMENTED,"Ministry of Culture, Government of India",Bihar Tourism Board,NONE,VERY HIGH,HIGH,HIGH,NONE,P0,Exceptional crown jewel destination: National freedom heritage monument and prime anchor of the official Gandhi Circuit in India.
32,Begusarai,Jaimangla Garh,historical,"25.5912, 86.1425",CROSS-VERIFIED MUNICIPAL,District Administration Begusarai (NIC Portal),Incredible India (Ministry of Tourism),NONE,HIGH,MEDIUM,HIGH,NONE,P1,High-value regional destination: Bihar State Protected Monument and vital cultural-heritage complement to Kanwar Lake.
33,Lakhisarai,Shringirishi Dham,nature,"25.0912, 86.2154",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",Bihar Forest Department,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Major eco-tourism and pilgrimage spot featured on lakhisarai.nic.in.
34,Nalanda,Brahma Kund & Hot Springs,nature,"25.0215, 85.4112",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Famous wellness and pilgrimage destination since antiquity.
35,Buxar,Ramrekha Ghat,cultural,"25.5785, 83.9812",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,"High-value regional destination: Chief cultural, religious, and evening Aarti gathering point in Buxar; Ramayana Circuit stop."
36,Munger,Kashtaharani Ghat,cultural,"25.3824, 86.4712",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Famous spiritual and evening gathering promenade with panoramic river views.
37,Vaishali,"Kundpur, Vaishali",cultural,"26.0154, 85.1485",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",District Administration Vaishali,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Foremost pilgrimage site on the global Jain Circuit.
38,Khagaria,Kosi-Bagmati-Gandak Riverfront,nature,"25.5124, 86.4812",CROSS-VERIFIED MUNICIPAL,District Administration Khagaria,Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Scenic river geography landmark.
39,Kishanganj,Mahananda Riverfront Promenade,nature,"26.0854, 87.9215",CROSS-VERIFIED MUNICIPAL,District Administration Kishanganj (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Highlighted local visitor spot on kishanganj.nic.in.
40,Munger,Kharagpur Lake & Haveli Kharagpur,lake,"25.1215, 86.5124",CROSS-VERIFIED MUNICIPAL,District Administration Munger (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Top picnic and eco-tourism spot in Munger district.
41,Munger,Rishi Kund,nature,"25.2312, 86.5412",CROSS-VERIFIED MUNICIPAL,District Administration Munger (NIC Portal),Bihar Forest Department,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Scenic eco-tourism and pilgrimage site featured on munger.nic.in.
42,Purnia,Kajha Kothi Eco Park,nature,"25.7512, 87.3812",CROSS-VERIFIED MUNICIPAL,District Administration Purnia (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Leading eco-tourism and recreation attraction in Purnia district.
43,Saharsa,Matsyagandha Lake & Raktakali Temple,lake,"25.8785, 86.5912",CROSS-VERIFIED MUNICIPAL,District Administration Saharsa (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Key urban recreation and cultural tourism center in Saharsa town.
44,Sheikhpura,Girihinda Pahar & Shiv Temple,mountain,"25.1385, 85.8512",CROSS-VERIFIED MUNICIPAL,District Administration Sheikhpura (NIC Portal),Bihar Tourism Board,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Most popular scenic and spiritual destination on sheikhpura.nic.in.
45,Sheikhpura,Arghauti Pokhar,lake,"25.1412, 85.8612",CROSS-VERIFIED MUNICIPAL,District Administration Sheikhpura (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Documented place of civic and cultural heritage on sheikhpura.nic.in.
46,Banka,Jethor Nath Mandir,temple,"25.0418, 86.9124",CROSS-VERIFIED MUNICIPAL,District Administration Banka (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,HIGH,MEDIUM,HIGH,NONE,P1,High-value regional destination: Featured place of interest on official district portal.
47,Bhagalpur,Kuppa Ghat & Maharshi Mehi Ashram,cultural,"25.2512, 87.0124",CROSS-VERIFIED MUNICIPAL,District Administration Bhagalpur (NIC Portal),Bihar Tourism Board,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Prominent spiritual tourism retreat visited by thousands of seekers.
48,East Champaran,Sagar Dih Mound & Stupa,historical,"26.8541, 84.8124",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),Gazetteer of Bihar & Regional Cultural Archives,NONE,MEDIUM,MODEST,HIGH,NONE,P1,High-value regional destination: ASI Centrally Protected Monument of National Importance.
49,Katihar,Manihari Ganga Ghat & Baghar Beel,cultural,"25.3385, 87.6125",CROSS-VERIFIED MUNICIPAL,District Administration Katihar (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Scenic riverfront tourism and religious bathing destination.
50,Nalanda,Saptaparni Cave,historical,"25.0185, 85.4054",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),District Administration Nalanda,NONE,MEDIUM,MODEST,HIGH,NONE,P1,High-value regional destination: Foundational historic site for Buddhist literature and canonical Vinaya/Sutta Pitaka.
51,Patna,NIT Ghat & Ganga Aarti,cultural,"25.6215, 85.1712",CROSS-VERIFIED MUNICIPAL,District Administration Patna,Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Signature evening cultural tourism attraction in Patna city.
52,Saran,Manjhi Fort Ruins & Ancient City,historical,"25.8215, 84.5812",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),District Administration Saran,NONE,MEDIUM,MODEST,HIGH,NONE,P1,High-value regional destination: ASI Centrally Protected Monument of National Importance.
53,West Champaran,Chankigarh Fort,historical,"27.1125, 84.4512",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),"Directorate of Archaeology & Museums, Bihar",NONE,MEDIUM,MODEST,HIGH,NONE,P1,High-value regional destination: ASI Centrally Protected Monument of National Importance.
54,Jamui,Nagi Dam Bird Sanctuary,nature,"24.8215, 86.4685",GOVERNMENT / STATUTORY,Ramsar Wetlands Secretariat (UNESCO/IUCN),Bihar Tourism Board,NONE,MEDIUM,MODEST,HIGH,NONE,P1,High-value regional destination: National-level conservation and eco-tourism landmark.
55,Vaishali,Baraila Lake / Salim Ali Jubba Sahni Sanctuary,nature,"25.7512, 85.4512",GOVERNMENT / STATUTORY,"Department of Environment, Forest & Climate Change, Bihar",Bihar Tourism Board,NONE,MEDIUM,MODEST,HIGH,NONE,P1,High-value regional destination: Important avian eco-tourism and birdwatching reserve in Tirhut.
56,Arwal,Aganoor Mini Hydroelectric Project,tourist_spot,"25.1328, 84.5824",CROSS-VERIFIED MUNICIPAL,District Administration Arwal (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,HIGH,MEDIUM,HIGH,NONE,P1,High-value regional destination: Official tourist attraction recognized on district government portal for technical and scenic interest.
57,Gopalganj,Lakri Dargah,cultural,"26.3125, 84.4512",CROSS-VERIFIED MUNICIPAL,District Administration Gopalganj (NIC Portal),Bihar Tourism Board,NONE,MEDIUM,MODEST,HIGH,NONE,P1,High-value regional destination: Significant Sufi pilgrimage site officially documented on gopalganj.nic.in.
58,Kishanganj,Khagra Mela Ground & Nawab Palace,cultural,"26.1045, 87.9412",CROSS-VERIFIED MUNICIPAL,District Administration Kishanganj (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MEDIUM,MODEST,HIGH,NONE,P1,"High-value regional destination: Primary cultural identity landmark of Kishanganj, documented on kishanganj.nic.in."
59,Gopalganj,Husepur Fort Ruins,historical,"26.5412, 84.2815",CROSS-VERIFIED MUNICIPAL,District Administration Gopalganj (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MEDIUM,MODEST,HIGH,NONE,P1,High-value regional destination: Prominent regional history and revolt landmark.
60,Nawada,"Indrasal Cave, Parvati Hill",historical,"24.9812, 85.5124",CROSS-VERIFIED MUNICIPAL,District Administration Nawada (NIC Portal),Archaeological Survey of India,NONE,MEDIUM,MODEST,HIGH,NONE,P1,High-value regional destination: Archaeological Buddhist site of national historical significance.
61,Sheohar,Sheohar Raj Palace,historical,"26.5125, 85.2912",CROSS-VERIFIED MUNICIPAL,District Administration Sheohar (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MEDIUM,MODEST,HIGH,NONE,P1,High-value regional destination: Primary historical landmark of Sheohar town.
62,West Champaran,Bettiah Raj Palace Complex,historical,"26.8012, 84.5124",CROSS-VERIFIED MUNICIPAL,District Administration West Champaran (NIC Portal),"Directorate of Archaeology & Museums, Bihar",NONE,MEDIUM,MODEST,HIGH,NONE,P1,High-value regional destination: Significant architectural and cultural landmark of Champaran.
63,Begusarai,"Naulakha Temple, Begusarai",temple,"25.4182, 86.1315",CROSS-VERIFIED MUNICIPAL,District Administration Begusarai (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,HIGH,MEDIUM,HIGH,NONE,P1,High-value regional destination: Prime religious destination within Begusarai city.
64,Bhojpur,Bhaluni Dham,temple,"25.2154, 84.3821",CROSS-VERIFIED MUNICIPAL,District Administration Bhojpur (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,HIGH,MEDIUM,HIGH,NONE,P1,High-value regional destination: Prominent rural pilgrimage site in southern Bhojpur.
65,Buxar,"Brahmeshwar Nath Temple, Brahmpur",temple,"25.5921, 84.2815",CROSS-VERIFIED MUNICIPAL,District Administration Buxar (NIC Portal),Bihar Tourism Board,NONE,HIGH,MEDIUM,HIGH,NONE,P1,High-value regional destination: State-level religious pilgrimage destination officially documented on buxar.nic.in.
66,Sitamarhi,Haleshwar Sthan,temple,"26.6215, 85.4712",CROSS-VERIFIED MUNICIPAL,District Administration Sitamarhi (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,HIGH,MEDIUM,HIGH,NONE,P1,High-value regional destination: Important Ramayana Circuit shrine officially documented on sitamarhi.nic.in.
67,Arwal,"Madanpur Sun Temple, Arwal",temple,"25.1612, 84.6154",CROSS-VERIFIED MUNICIPAL,District Administration Arwal (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MEDIUM,MODEST,HIGH,NONE,P1,High-value regional destination: Prominent religious destination mentioned in district heritage lists.
68,Bhojpur,"Sun Temple, Tarari",temple,"25.3125, 84.4215",CROSS-VERIFIED MUNICIPAL,District Administration Bhojpur (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MEDIUM,MODEST,HIGH,NONE,P1,High-value regional destination: Official place of interest on district administration portal.
69,Aurangabad,Tomb of Shamsher Khan,historical,"25.0418, 84.3821",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),District Administration Aurangabad,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: ASI Centrally Protected Monument of National Importance in Bihar.
70,Gaya,Kauwadol Hill & Colossal Buddha Statue,historical,"24.9745, 85.0412",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),District Administration Gaya,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: ASI Centrally Protected Monument of National Importance.
71,Gaya,Koncheswar Mahadev Temple,historical,"24.9312, 84.7812",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),"Directorate of Archaeology & Museums, Bihar",NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: ASI Centrally Protected Monument of National Importance.
72,Gaya,Kurkihar Archaeological Site,historical,"24.8152, 85.2512",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: ASI Centrally Protected Monument.
73,Kaimur,"Baidyanath Temple, Kaimur",historical,"25.2815, 83.7125",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),"Directorate of Archaeology & Museums, Bihar",NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: ASI Centrally Protected Monument and district tourist site.
74,Kaimur,Tomb of Bakhtiyar Khan,historical,"25.0354, 83.5412",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),District Administration Kaimur,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: ASI Centrally Protected Monument of National Importance.
75,Kishanganj,"Kanhaiya Ji Mandir, Bandarjhula",historical,"26.3812, 87.9125",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),District Administration Kishanganj,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: ASI Centrally Protected Monument of National Importance in Bihar.
76,Madhubani,Raja Bali Ka Garh,historical,"26.4815, 86.2912",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),District Administration Madhubani,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: ASI Centrally Protected Monument of National Importance in Bihar.
77,Nalanda,Griddhakuta (Vulture's Peak),historical,"25.0112, 85.4412",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),District Administration Nalanda,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Most revered Buddhist pilgrimage hill in the world.
78,Nalanda,Cyclopean Wall of Rajgir,historical,"25.0125, 85.4185",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,"High-value regional destination: One of the oldest stone structural fortifications in the world, ASI Centrally Protected Monument."
79,Rohtas,Tomb of Hasan Khan Suri,historical,"24.9512, 84.0385",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),District Administration Rohtas,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: ASI Centrally Protected Monument of National Importance.
80,Rohtas,"Ashokan Inscription, Chandan Shahid Hill",historical,"24.9542, 84.0415",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: ASI Centrally Protected Monument of National Importance.
81,Vaishali,Raja Vishal Ka Garh,historical,"25.9812, 85.1315",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),District Administration Vaishali,NONE,MODEST,MODEST,HIGH,NONE,P1,"High-value regional destination: Birthplace of democratic governance, ASI Centrally Protected Monument."
82,Aurangabad,Amjhar Sharif,cultural,"24.9854, 84.5218",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",District Administration Aurangabad,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Key stop on Bihar Tourism official Sufi Circuit.
83,East Champaran,"Gandhi Memorial & Sangrahalaya, Motihari",cultural,"26.6485, 84.9125",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,"High-value regional destination: Historic birthground of India's civil disobedience movement, official Gandhi Circuit anchor."
84,Katihar,Guru Tegh Bahadur Historic Gurdwara,cultural,"25.4125, 87.4812",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Important pilgrimage shrine on the official Bihar Sikh Circuit.
85,Madhubani,Ranti Art Village,cultural,"26.3685, 86.0824",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Globally recognized women-led traditional craft cluster.
86,Munger,Bihar School of Yoga / Ganga Darshan,cultural,"25.3812, 86.4685",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Global spiritual and wellness tourism landmark on the banks of Ganga.
