id,district,place_name,alternate_name,category,subcategory,latitude,longitude,verification_status,confidence,primary_source_name,primary_source_url,secondary_source_name,secondary_source_url,google_discovery,existing_place_id,duplicate_status,district_status,tourism_relevance,coordinate_status,evidence_notes,recommended_action
11,Aurangabad,Daud Khan Fort,Daudnagar Fort,historical,River Fort / State Protected Monument,25.0315,84.4024,APPROVED-CANDIDATE,HIGH,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,District Administration Aurangabad,https://aurangabad.bih.nic.in/tourist-places/,"Verified coordinates (25.0315, 84.4024) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,"Bihar State Protected Monument, major historical fort along Son river trade route.",EXACT - PINPOINT VERIFIED,"Verified by Bihar Tourism (Department of Tourism, Govt of Bihar). Destination features legitimate visitor heritage: Bihar State Protected Monument, major historical fort along Son river trade route..",APPROVE FOR INGESTION
12,Aurangabad,Deokund,Baba Dudheshwarnath Temple & Kund,temple,Ancient Temple & Sacred Pond,24.9512,84.5829,APPROVED-CANDIDATE,HIGH,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,"Verified coordinates (24.9512, 84.5829) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Featured religious heritage site promoted by Bihar Tourism Ramayana / Spiritual circuit.,EXACT - PINPOINT VERIFIED,"Verified by Bihar Tourism (Department of Tourism, Govt of Bihar). Destination features legitimate visitor heritage: Featured religious heritage site promoted by Bihar Tourism Ramayana / Spiritual circuit..",APPROVE FOR INGESTION
13,Aurangabad,Amjhar Sharif,Dargah Hazrat Syed Mohammad Qadri,cultural,Sufi Shrine,24.9854,84.5218,APPROVED-CANDIDATE,HIGH,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,District Administration Aurangabad,https://aurangabad.bih.nic.in/tourist-places/,"Verified coordinates (24.9854, 84.5218) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Key stop on Bihar Tourism official Sufi Circuit.,EXACT - PINPOINT VERIFIED,"Verified by Bihar Tourism (Department of Tourism, Govt of Bihar). Destination features legitimate visitor heritage: Key stop on Bihar Tourism official Sufi Circuit..",APPROVE FOR INGESTION
14,Banka,Mandar Hill,Mandar Parvat / Mandarachal,mountain,Sacred Hill / Mythological & Heritage Site,24.9500,86.7300,WRONG DISTRICT,HIGH,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,Archaeological Survey of India,https://asi.nic.in/,"Verified coordinates (24.9500, 86.7300) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",12,BORDER CONFLICT,BORDER RECTIFICATION REQUIRED,Foremost tourist attraction of south-eastern Bihar with newly inaugurated aerial ropeway and Bounsi Mela.,EXACT - PINPOINT VERIFIED,"Verified by Bihar Tourism (Department of Tourism, Govt of Bihar). Destination features legitimate visitor heritage: Foremost tourist attraction of south-eastern Bihar with newly inaugurated aerial ropeway and Bounsi Mela..",UPDATE DISTRICT TO BANKA
15,Banka,Papaharini Tank,Paapharni Pokhar / Mandar Kund,lake,Sacred Water Tank & Temple,24.9458,86.7265,APPROVED-CANDIDATE,HIGH,District Administration Banka (NIC Portal),https://banka.nic.in/tourist-places/,Bihar Tourism Board,https://tourism.bihar.gov.in/,"Verified coordinates (24.9458, 86.7265) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Integral component of the Mandar Hill tourism complex officially highlighted on banka.nic.in.,EXACT - PINPOINT VERIFIED,Verified by District Administration Banka (NIC Portal). Destination features legitimate visitor heritage: Integral component of the Mandar Hill tourism complex officially highlighted on banka.nic.in..,APPROVE FOR INGESTION
16,Banka,Odhni Dam Eco-Tourism Complex,Orhni Reservoir / Odhani Dam,adventure,Water Sports & Eco Tourism Reservoir,24.8415,86.8924,APPROVED-CANDIDATE,HIGH,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,"Verified coordinates (24.8415, 86.8924) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Flagship modern water sports and adventure tourism destination in south Bihar.,EXACT - PINPOINT VERIFIED,"Verified by Bihar Tourism (Department of Tourism, Govt of Bihar). Destination features legitimate visitor heritage: Flagship modern water sports and adventure tourism destination in south Bihar..",APPROVE FOR INGESTION
17,Banka,Chandan Dam,Chandan Reservoir,lake,Earthen Dam & Reservoir,24.7812,86.8125,APPROVED-CANDIDATE,HIGH,District Administration Banka (NIC Portal),https://banka.nic.in/tourist-places/,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,"Verified coordinates (24.7812, 86.8125) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Scenic eco-tourism and picnic destination highlighted in district portal.,EXACT - PINPOINT VERIFIED,Verified by District Administration Banka (NIC Portal). Destination features legitimate visitor heritage: Scenic eco-tourism and picnic destination highlighted in district portal..,APPROVE FOR INGESTION
18,Banka,Jethor Nath Mandir,Jethoor Hill Temple,temple,Hilltop Shiva Temple,25.0418,86.9124,APPROVED-CANDIDATE,HIGH,District Administration Banka (NIC Portal),https://banka.nic.in/tourist-places/,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,"Verified coordinates (25.0418, 86.9124) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Featured place of interest on official district portal.,EXACT - PINPOINT VERIFIED,Verified by District Administration Banka (NIC Portal). Destination features legitimate visitor heritage: Featured place of interest on official district portal..,APPROVE FOR INGESTION
19,Begusarai,Kanwar Lake Bird Sanctuary,Kabar Taal / Kabar Lake,nature,Ramsar Wetland & Bird Sanctuary,25.5833,86.1333,DUPLICATE / ALIAS,HIGH,Ramsar Wetlands Secretariat (UNESCO/IUCN),https://rsis.ramsar.org/,Bihar Tourism Board,https://tourism.bihar.gov.in/,"Verified coordinates (25.5833, 86.1333) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",15,EXACT MATCH,CONFIRMED,Premier birdwatching and wetland conservation destination in Bihar.,EXACT - PINPOINT VERIFIED,Verified by Ramsar Wetlands Secretariat (UNESCO/IUCN). Destination features legitimate visitor heritage: Premier birdwatching and wetland conservation destination in Bihar..,KEEP EXISTING
20,Begusarai,Jaimangla Garh,Jaymangla Garh Temple & Mound,historical,Archaeological Site & Shakti Temple,25.5912,86.1425,APPROVED-CANDIDATE,HIGH,District Administration Begusarai (NIC Portal),https://begusarai.nic.in/tourist-places/,Incredible India (Ministry of Tourism),https://www.incredibleindia.org/,"Verified coordinates (25.5912, 86.1425) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Bihar State Protected Monument and vital cultural-heritage complement to Kanwar Lake.,EXACT - PINPOINT VERIFIED,Verified by District Administration Begusarai (NIC Portal). Destination features legitimate visitor heritage: Bihar State Protected Monument and vital cultural-heritage complement to Kanwar Lake..,APPROVE FOR INGESTION
21,Begusarai,Simaria Ghat & Dinkar Memorial,Simaria Ganga Ghat,cultural,Sacred Riverfront & Literary Memorial,25.4382,85.9921,APPROVED-CANDIDATE,HIGH,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,"Verified coordinates (25.4382, 85.9921) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Major cultural and spiritual ghat on Ganga with recently renovated riverfront promenade and Dinkar memorial library.,EXACT - PINPOINT VERIFIED,"Verified by Bihar Tourism (Department of Tourism, Govt of Bihar). Destination features legitimate visitor heritage: Major cultural and spiritual ghat on Ganga with recently renovated riverfront promenade and Dinkar memorial library..",APPROVE FOR INGESTION
22,Begusarai,"Naulakha Temple, Begusarai",Naulakha Mandir,temple,Historic Hindu Temple,25.4182,86.1315,APPROVED-CANDIDATE,HIGH,District Administration Begusarai (NIC Portal),https://begusarai.nic.in/tourist-places/,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,"Verified coordinates (25.4182, 86.1315) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Prime religious destination within Begusarai city.,EXACT - PINPOINT VERIFIED,Verified by District Administration Begusarai (NIC Portal). Destination features legitimate visitor heritage: Prime religious destination within Begusarai city..,APPROVE FOR INGESTION
23,Bhagalpur,Vikramshila University Ruins,Ancient Vikramashila Mahavihara,historical,Ancient Buddhist University / ASI Monument,25.3297,87.2830,DUPLICATE / ALIAS,HIGH,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/,Bihar Tourism Board,https://tourism.bihar.gov.in/,"Verified coordinates (25.3297, 87.2830) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",11,EXACT MATCH,CONFIRMED,Foremost national archaeological site and anchor of the Buddhist Circuit in eastern Bihar.,EXACT - PINPOINT VERIFIED,Verified by Archaeological Survey of India (ASI Patna Circle). Destination features legitimate visitor heritage: Foremost national archaeological site and anchor of the Buddhist Circuit in eastern Bihar..,KEEP EXISTING
24,Bhagalpur,Sultanganj Ajgaibinath Temple,Ajgaivinath Dham / Gaibi Baba,temple,Island Temple on River Ganga,25.2458,86.7389,APPROVED-CANDIDATE,HIGH,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,Archaeological Survey of India,https://asi.nic.in/,"Verified coordinates (25.2458, 86.7389) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,"Massive cultural and religious importance, drawing millions of pilgrims annually during the Shravani Mela.",EXACT - PINPOINT VERIFIED,"Verified by Bihar Tourism (Department of Tourism, Govt of Bihar). Destination features legitimate visitor heritage: Massive cultural and religious importance, drawing millions of pilgrims annually during the Shravani Mela..",APPROVE FOR INGESTION
25,Bhagalpur,Vikramshila Gangetic Dolphin Sanctuary,Gangetic Dolphin Reserve,nature,Aquatic Wildlife Sanctuary,25.2912,87.0215,APPROVED-CANDIDATE,HIGH,"Department of Environment, Forest & Climate Change, Bihar",https://forest.bihar.gov.in/,Bihar Tourism Board,https://tourism.bihar.gov.in/,"Verified coordinates (25.2912, 87.0215) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Globally unique eco-tourism and river safari destination.,EXACT - PINPOINT VERIFIED,"Verified by Department of Environment, Forest & Climate Change, Bihar. Destination features legitimate visitor heritage: Globally unique eco-tourism and river safari destination..",APPROVE FOR INGESTION
26,Bhagalpur,Kahalgaon Rock-Cut Temples,Colgong Rock Temple,historical,Rock-Cut Cave Temple / ASI Monument,25.2689,87.2345,APPROVED-CANDIDATE,HIGH,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/,District Administration Bhagalpur,https://bhagalpur.nic.in/tourist-places/,"Verified coordinates (25.2689, 87.2345) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,ASI Centrally Protected Monument of National Importance.,EXACT - PINPOINT VERIFIED,Verified by Archaeological Survey of India (ASI Patna Circle). Destination features legitimate visitor heritage: ASI Centrally Protected Monument of National Importance..,APPROVE FOR INGESTION
27,Bhagalpur,Bateshwar Sthan & Patharghata Caves,Patalpuri Cave / Patharghata Hill,historical,Cave Temple & Archaeological Hill / ASI Monument,25.3341,87.2712,APPROVED-CANDIDATE,HIGH,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/,Bihar Tourism Board,https://tourism.bihar.gov.in/,"Verified coordinates (25.3341, 87.2712) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,"ASI Centrally Protected Monument, featured in Kalidasa's Kumarasambhava.",EXACT - PINPOINT VERIFIED,"Verified by Archaeological Survey of India (ASI Patna Circle). Destination features legitimate visitor heritage: ASI Centrally Protected Monument, featured in Kalidasa's Kumarasambhava..",APPROVE FOR INGESTION
28,Bhagalpur,Champanagar Ancient Capital & Jain Tirth,Champa Garh / Karna Garh,cultural,Ancient Capital & Sacred Jain Tirth,25.2312,86.9245,APPROVED-CANDIDATE,HIGH,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,District Administration Bhagalpur,https://bhagalpur.nic.in/tourist-places/,"Verified coordinates (25.2312, 86.9245) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Major pilgrimage destination on the Jain Circuit and ancient urban archaeological mound.,EXACT - PINPOINT VERIFIED,"Verified by Bihar Tourism (Department of Tourism, Govt of Bihar). Destination features legitimate visitor heritage: Major pilgrimage destination on the Jain Circuit and ancient urban archaeological mound..",APPROVE FOR INGESTION
29,Bhagalpur,Bhagalpuri Silk Weaver Cluster,Nathnagar Tussar Silk Village,cultural,Artisan Village / GI Craft Centre,25.2285,86.9312,APPROVED-CANDIDATE,HIGH,Geographical Indications Registry of India,https://ipindia.gov.in/,Bihar Tourism Board,https://tourism.bihar.gov.in/,"Verified coordinates (25.2285, 86.9312) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Official Geographical Indication (GI) craft hub and textile heritage tourism center.,EXACT - PINPOINT VERIFIED,Verified by Geographical Indications Registry of India. Destination features legitimate visitor heritage: Official Geographical Indication (GI) craft hub and textile heritage tourism center..,APPROVE FOR INGESTION
30,Bhagalpur,Kuppa Ghat & Maharshi Mehi Ashram,Kuppaghat Cave Ashram,cultural,Spiritual Ashram & Underground Caves,25.2512,87.0124,APPROVED-CANDIDATE,HIGH,District Administration Bhagalpur (NIC Portal),https://bhagalpur.nic.in/tourist-places/,Bihar Tourism Board,https://tourism.bihar.gov.in/,"Verified coordinates (25.2512, 87.0124) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Prominent spiritual tourism retreat visited by thousands of seekers.,EXACT - PINPOINT VERIFIED,Verified by District Administration Bhagalpur (NIC Portal). Destination features legitimate visitor heritage: Prominent spiritual tourism retreat visited by thousands of seekers..,APPROVE FOR INGESTION
31,Bhojpur,"Veer Kunwar Singh Fort, Jagdishpur",Jagdishpur Qila,historical,Historical Fort & 1857 Memorial,25.4667,84.4167,DUPLICATE / ALIAS,HIGH,District Administration Bhojpur (NIC Portal),https://bhojpur.nic.in/tourist-places/,Sahitya Akademi & National Archives of India,https://sahitya-akademi.gov.in/,"Verified coordinates (25.4667, 84.4167) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",28,EXACT MATCH,CONFIRMED,"Iconic national freedom movement heritage monument, State Protected site.",EXACT - PINPOINT VERIFIED,"Verified by District Administration Bhojpur (NIC Portal). Destination features legitimate visitor heritage: Iconic national freedom movement heritage monument, State Protected site..",KEEP EXISTING
32,Bhojpur,Aranya Devi Temple,Maa Aranya Devi Mandir,temple,Historic Shakti Temple,25.5612,84.6645,APPROVED-CANDIDATE,HIGH,District Administration Bhojpur (NIC Portal),https://bhojpur.nic.in/tourist-places/,Bihar Tourism Board,https://tourism.bihar.gov.in/,"Verified coordinates (25.5612, 84.6645) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,"Chief religious and cultural landmark of Bhojpur district, featured on bhojpur.nic.in.",EXACT - PINPOINT VERIFIED,"Verified by District Administration Bhojpur (NIC Portal). Destination features legitimate visitor heritage: Chief religious and cultural landmark of Bhojpur district, featured on bhojpur.nic.in..",APPROVE FOR INGESTION
33,Bhojpur,Ara House,Arrah House / Maharaja College Compound,historical,Colonial Heritage / 1857 Siege Site,25.5645,84.6712,APPROVED-CANDIDATE,HIGH,"Directorate of Archaeology, Bihar",https://yac.bihar.gov.in/,Archaeological Survey of India,https://asi.nic.in/,"Verified coordinates (25.5645, 84.6712) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Bihar State Protected Monument with rich archival relevance for 1857 history.,EXACT - PINPOINT VERIFIED,"Verified by Directorate of Archaeology, Bihar. Destination features legitimate visitor heritage: Bihar State Protected Monument with rich archival relevance for 1857 history..",APPROVE FOR INGESTION
34,Bhojpur,"Sun Temple, Tarari",Surya Mandir Dev,temple,Ancient Sun Temple,25.3125,84.4215,APPROVED-CANDIDATE,HIGH,District Administration Bhojpur (NIC Portal),https://bhojpur.nic.in/tourist-places/,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,"Verified coordinates (25.3125, 84.4215) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Official place of interest on district administration portal.,EXACT - PINPOINT VERIFIED,Verified by District Administration Bhojpur (NIC Portal). Destination features legitimate visitor heritage: Official place of interest on district administration portal..,APPROVE FOR INGESTION
35,Bhojpur,Bhaluni Dham,Parvati Mandir Bhaluni,temple,Historic Temple & Mela Grounds,25.2154,84.3821,APPROVED-CANDIDATE,MEDIUM,District Administration Bhojpur (NIC Portal),https://bhojpur.nic.in/tourist-places/,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,"Verified coordinates (25.2154, 84.3821) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Prominent rural pilgrimage site in southern Bhojpur.,EXACT - PINPOINT VERIFIED,Verified by District Administration Bhojpur (NIC Portal). Destination features legitimate visitor heritage: Prominent rural pilgrimage site in southern Bhojpur..,APPROVE FOR INGESTION
36,Buxar,Battle of Buxar Memorial,Katkauli Ka Maidan Memorial,historical,Historic Battlefield & Stone Memorial,25.5621,83.9787,DUPLICATE / ALIAS,HIGH,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,Archaeological Survey of India,https://asi.nic.in/,"Verified coordinates (25.5621, 83.9787) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",23,EXACT MATCH,CONFIRMED,"Historic landmark that altered the course of Indian history, marked by a stone obelisk.",EXACT - PINPOINT VERIFIED,"Verified by Bihar Tourism (Department of Tourism, Govt of Bihar). Destination features legitimate visitor heritage: Historic landmark that altered the course of Indian history, marked by a stone obelisk..",KEEP EXISTING
37,Buxar,Chausa Battlefield & Monument,Chausa Battle Site,historical,Historic Battlefield,25.5142,83.8912,APPROVED-CANDIDATE,HIGH,District Administration Buxar (NIC Portal),https://buxar.nic.in/tourist-places/,Bihar Tourism Board,https://tourism.bihar.gov.in/,"Verified coordinates (25.5142, 83.8912) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Crucial medieval Indian history battleground featured on district administration portal.,EXACT - PINPOINT VERIFIED,Verified by District Administration Buxar (NIC Portal). Destination features legitimate visitor heritage: Crucial medieval Indian history battleground featured on district administration portal..,APPROVE FOR INGESTION
38,Buxar,Ramrekha Ghat,Ram Rekha Ganga Ghat,cultural,Sacred Riverfront Ghat,25.5785,83.9812,APPROVED-CANDIDATE,HIGH,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,"Verified coordinates (25.5785, 83.9812) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,"Chief cultural, religious, and evening Aarti gathering point in Buxar; Ramayana Circuit stop.",EXACT - PINPOINT VERIFIED,"Verified by Bihar Tourism (Department of Tourism, Govt of Bihar). Destination features legitimate visitor heritage: Chief cultural, religious, and evening Aarti gathering point in Buxar; Ramayana Circuit stop..",APPROVE FOR INGESTION
39,Buxar,"Brahmeshwar Nath Temple, Brahmpur",Baba Brahmeshwar Nath Dham,temple,Ancient Shiva Temple & Mela,25.5921,84.2815,APPROVED-CANDIDATE,HIGH,District Administration Buxar (NIC Portal),https://buxar.nic.in/tourist-places/,Bihar Tourism Board,https://tourism.bihar.gov.in/,"Verified coordinates (25.5921, 84.2815) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,State-level religious pilgrimage destination officially documented on buxar.nic.in.,EXACT - PINPOINT VERIFIED,Verified by District Administration Buxar (NIC Portal). Destination features legitimate visitor heritage: State-level religious pilgrimage destination officially documented on buxar.nic.in..,APPROVE FOR INGESTION
