candidate,previous_status,current_status,reason
"Brahmeshwar Nath Temple, Brahmpur",HOLD / QUEUE,HOLD,"Ancient west-facing Shiva temple ('Mini Kashi') and cattle fair venue in eastern Buxar (19.45 km from Bhojpur's Jagdishpur Fort, 33 km from Buxar town). Strong candidate; held for Batch 8 to keep Batch 7 at 1 candidate per district."
Kauwadol Hill & Colossal Buddha Statue,HOLD / QUEUE,HOLD,ASI Centrally Protected Monument featuring an 8-foot seated stone Buddha and rock-cut carvings. Located 4.10 km from Barabar Caves (ID 2). Gaya already has 12 active places; held to maintain geographic balance.
"Indrasal Cave, Parvati Hill",HOLD / QUEUE,HOLD,Ancient cave where Lord Buddha delivered Sakkapanha Sutta. Held due to scholarly debate and coordinate uncertainty between Giriyak Hill in Nalanda and Parvati Hill in Kashichak Nawada; requires fresh field verification.
Sheohar Raj Palace,HOLD / QUEUE,HOLD,Former 19th-century zamindari estate residence. Held due to lack of official government/ASI heritage notification on sheohar.nic.in; private/disputed property.
Kosi-Bagmati-Gandak Riverfront,HOLD / QUEUE,HOLD,Generic river confluence area. Held due to lack of formal municipal tourism infrastructure or official listing on khagaria.nic.in.
"Ambika Sthan, Aami",HOLD / QUEUE,HOLD,Ancient Shaktipeeth and Yajna Kunda mound on the Ganga in Dighwara. High-value candidate held for Batch 8 since Saran is represented by Gautam Asthan in Batch 7.
Dharahara Narasimha Pillar,HOLD / QUEUE,HOLD,Ancient stone pillar and mound associated with Narasimha lore. Purnia gained Kajha Kothi in Batch 6; held for further structural documentation.
Bhaluni Dham,HOLD / QUEUE,HOLD,Ancient Parvati temple on Bhojpur/Rohtas border; modest regional tourism footprint; held for Batch 8 consideration.
Chankigarh Fort,HOLD / QUEUE,HOLD,"Massive 90-foot ancient brick mound in Narkatiaganj block, 13.58 km from Lauriya Nandangarh. West Champaran is represented by Bhitiharwa Ashram in Batch 7; held for Batch 8."
Bettiah Raj Palace Complex,HOLD / QUEUE,HOLD,Historic 18th-century palace complex of the Bettiah Raj zamindari estate. Complex legal disputes and ongoing court receiver administration; held pending preservation assessment.
Tomb of Bakhtiyar Khan,HOLD / QUEUE,HOLD,"State Protected medieval mausoleum in Chainpur, 5.86 km from Karkatgarh. Kaimur already has 4 active places; held for geographic balance."
Amjhar Sharif,HOLD / QUEUE,HOLD,"Sufi shrine on official Bihar Tourism Sufi circuit, 7.22 km from Deokund. Aurangabad gained Deokund in Batch 6 (now 4 places); held for geographic balance."
Lali Pahadi Archaeological Site,HOLD / QUEUE,HOLD,"Excavated Buddhist nunnery and hilltop monastery in Jaynagar, 3.48 km from Ashok Dham. Lakhisarai gained Shringirishi Dham in Batch 6; held for later batch."
Rajauna Buddhist Archaeological Mound,HOLD / QUEUE,HOLD,"Protected Buddhist archaeological site, 1.72 km from Ashok Dham. Held due to proximity to existing active place and recent Batch 6 addition."
Ahirauli Ahilya Sthan,HOLD / QUEUE,HOLD,Temple site 4.12 km from Battle of Buxar Memorial; Ramrekha Ghat selected as superior primary cultural riverfront anchor for Buxar in Batch 7.
Saptaparni Cave,CANDIDATE QUEUE,DUPLICATE / ALIAS,"Subcomponent of Rajgir hill complex (ID 9, 1.48 km); first Buddhist council cave, already subsumed under Rajgir destination."
Cyclopean Wall of Rajgir,CANDIDATE QUEUE,DUPLICATE / ALIAS,Ancient 40-km pre-Mauryan cyclopean stone masonry wall surrounding Rajgir; integral perimeter feature of active destination ID 9.
Rajgir Glass Bridge & Nature Safari,CANDIDATE QUEUE,DUPLICATE / ALIAS,"Eco-adventure park and glass skywalk in Jethian valley, 5.58 km from Rajgir (ID 9); Nalanda already has 5 active destinations."
Papaharini Tank,CANDIDATE QUEUE,DUPLICATE / ALIAS,"Sacred water tank situated directly at the foothills of Mandar Hill (ID 21, 0.42 km); same-site complex component."
Sujata Stupa & Kuti,CANDIDATE QUEUE,DUPLICATE / ALIAS,"Excavated brick stupa across Falgu river, 1.42 km from Bodh Gaya museum / Mahabodhi complex; tightly clustered with existing Gaya inventory."
Ranti Art Village,CANDIDATE QUEUE,DUPLICATE / ALIAS,Mithila painting artisan village 1.72 km from Jitwarpur Art Village (ID 121); same craft cluster.
Nagarjuni Caves,CANDIDATE QUEUE,DUPLICATE / ALIAS,Adjacent Maurya-era cave complex 1.78 km from Barabar Caves (ID 5); part of the canonical Barabar-Nagarjuni archaeological cluster.
Arwal Bus Stand Commercial Complex,REJECTED,REJECTED,Generic transit infrastructure; no tourism value
Barauni IOCL Refinery Township,REJECTED,REJECTED,Active petrochemical industrial complex; restricted entry
Ara Sadar Hospital,REJECTED,REJECTED,Municipal healthcare facility; zero tourism value
Buxar Central Jail,REJECTED,REJECTED,Active correctional security institution; restricted access
Samastipur Dairy Milk Plant,REJECTED,REJECTED,Industrial dairy processing facility; commercial property
Chhapra Main Bazar Cloth Market,REJECTED,REJECTED,Local commercial clothing market; generic retail
Hotel Grand Sheohar,REJECTED,REJECTED,Commercial hotel lodging; generic business establishment
Siwan Civil Court Complex,REJECTED,REJECTED,Judicial administrative premises; zero tourism value
Kahalgaon Rock-Cut Temples,APPROVAL-READY (Batch 6),ALREADY INSERTED (Batch 6 Live),Successfully inserted and verified in Batch 6 regression as active place ID 169.
Vishwa Shanti Stupa & Ratnagiri Ropeway,APPROVAL-READY (Batch 6),ALREADY INSERTED (Batch 6 Live),Successfully inserted and verified in Batch 6 regression as active place ID 170.
Shringirishi Dham,APPROVAL-READY (Batch 6),ALREADY INSERTED (Batch 6 Live),Successfully inserted and verified in Batch 6 regression as active place ID 171.
Girihinda Pahar & Shiv Temple,APPROVAL-READY (Batch 6),ALREADY INSERTED (Batch 6 Live),Successfully inserted and verified in Batch 6 regression as active place ID 172.
Matsyagandha Lake & Raktakali Temple,APPROVAL-READY (Batch 6),ALREADY INSERTED (Batch 6 Live),Successfully inserted and verified in Batch 6 regression as active place ID 173.
Kajha Kothi Eco Park,APPROVAL-READY (Batch 6),ALREADY INSERTED (Batch 6 Live),Successfully inserted and verified in Batch 6 regression as active place ID 174.
"Guru Tegh Bahadur Historic Gurdwara, Lakshmipur",APPROVAL-READY (Batch 6),ALREADY INSERTED (Batch 6 Live),Successfully inserted and verified in Batch 6 regression as active place ID 175.
Dighwa Dubauli Archaeological Mounds,APPROVAL-READY (Batch 6),ALREADY INSERTED (Batch 6 Live),Successfully inserted and verified in Batch 6 regression as active place ID 176.
Champanagar Ancient Capital & Jain Tirth,APPROVAL-READY (Batch 6),ALREADY INSERTED (Batch 6 Live),Successfully inserted and verified in Batch 6 regression as active place ID 177.
Deokund,APPROVAL-READY (Batch 6),ALREADY INSERTED (Batch 6 Live),Successfully inserted and verified in Batch 6 regression as active place ID 178.
