candidate_name,district,category,candidate_lat,candidate_lng,nearest_existing_place_id,nearest_existing_place_name,min_haversine_distance_km,exact_name_match,case_insensitive_match,slug_collision,same_complex_site,overlap_classification,audit_verdict,audit_notes
"Buddha Relic Stupa, Vaishali",Vaishali,historical,25.9912,85.1215,10,Vaishali - Birthplace of Democracy,0.93,NO,NO,NO,YES,Same-Site / High Proximity Cluster (0.93 km from active ID 10 'Vaishali - Birthplace of Democracy'),HOLD,Excavated mud stupa of the Lichchhavis that yielded the authentic casket containing Buddha's corporeal relics (now in Patna Museum). Held strictly due to 0.93 km marker proximity to ID 10 (Vaishali - Birthplace of Democracy); Vaishali already has 3 active places.
Nagi Dam Bird Sanctuary,Jamui,nature,24.8215,86.4685,67,Nakti Dam Bird Sanctuary,3.1,NO,NO,NO,NO,Urban / Complex Proximity Cluster (3.10 km from active ID 67 'Nakti Dam Bird Sanctuary'),HOLD,"Notified Wildlife Sanctuary and 2024 Ramsar Wetland site, host of Kalrav Bird Festival. Situated 3.10 km from Nakti Dam Bird Sanctuary (ID 67). Jamui already has 11 active destinations; held to prioritize underrepresented districts."
"Brahmeshwar Nath Temple, Brahmpur",Buxar,temple,25.5985,84.2815,28,"Veer Kunwar Singh Fort, Jagdishpur",19.97,NO,NO,NO,NO,"Distinct Regional Destination (19.97 km from active ID 28 'Veer Kunwar Singh Fort, Jagdishpur')",HOLD,"Ancient west-facing Shiva temple ('Mini Kashi') and cattle fair venue in eastern Buxar (19.45 km from Bhojpur's Jagdishpur Fort, 33 km from Buxar town). Strong candidate; held for Batch 8 to keep Batch 7 at 1 candidate per district."
Kauwadol Hill & Colossal Buddha Statue,Gaya,historical,24.9745,85.0412,5,Barabar Caves & Siddheshwar Nath,4.1,NO,NO,NO,NO,Urban / Complex Proximity Cluster (4.10 km from active ID 5 'Barabar Caves & Siddheshwar Nath'),HOLD,ASI Centrally Protected Monument featuring an 8-foot seated stone Buddha and rock-cut carvings. Located 4.10 km from Barabar Caves (ID 2). Gaya already has 12 active places; held to maintain geographic balance.
"Indrasal Cave, Parvati Hill",Nawada,historical,25.035,85.652,157,"Jal Mandir, Pawapuri",13.1,NO,NO,NO,NO,"Distinct Regional Destination (13.10 km from active ID 157 'Jal Mandir, Pawapuri')",HOLD,Ancient cave where Lord Buddha delivered Sakkapanha Sutta. Held due to scholarly debate and coordinate uncertainty between Giriyak Hill in Nalanda and Parvati Hill in Kashichak Nawada; requires fresh field verification.
Sheohar Raj Palace,Sheohar,historical,26.5125,85.2912,134,"Baba Bhuwaneshwar Nath Temple, Dekuli",4.08,NO,NO,NO,NO,"Urban / Complex Proximity Cluster (4.08 km from active ID 134 'Baba Bhuwaneshwar Nath Temple, Dekuli')",HOLD,Former 19th-century zamindari estate residence. Held due to lack of official government/ASI heritage notification on sheohar.nic.in; private/disputed property.
Kosi-Bagmati-Gandak Riverfront,Khagaria,nature,25.5124,86.4812,125,Katyayani Asthan,10.53,NO,NO,NO,NO,Distinct Regional Destination (10.53 km from active ID 125 'Katyayani Asthan'),HOLD,Generic river confluence area. Held due to lack of formal municipal tourism infrastructure or official listing on khagaria.nic.in.
"Ambika Sthan, Aami",Saran,temple,25.7215,84.9512,95,Maner Sharif,10.53,NO,NO,NO,NO,Distinct Regional Destination (10.53 km from active ID 95 'Maner Sharif'),HOLD,Ancient Shaktipeeth and Yajna Kunda mound on the Ganga in Dighwara. High-value candidate held for Batch 8 since Saran is represented by Gautam Asthan in Batch 7.
Dharahara Narasimha Pillar,Purnia,historical,25.8912,87.1812,114,Raniganj Vriksh Vatika,20.9,NO,NO,NO,NO,Distinct Regional Destination (20.90 km from active ID 114 'Raniganj Vriksh Vatika'),HOLD,Ancient stone pillar and mound associated with Narasimha lore. Purnia gained Kajha Kothi in Batch 6; held for further structural documentation.
Bhaluni Dham,Bhojpur,temple,25.2154,84.3821,152,Daud Khan Fort,20.55,NO,NO,NO,NO,Distinct Regional Destination (20.55 km from active ID 152 'Daud Khan Fort'),HOLD,Ancient Parvati temple on Bhojpur/Rohtas border; modest regional tourism footprint; held for Batch 8 consideration.
Chankigarh Fort,West Champaran,historical,27.1125,84.4512,153,Lauriya Nandangarh,13.58,NO,NO,NO,NO,Distinct Regional Destination (13.58 km from active ID 153 'Lauriya Nandangarh'),HOLD,"Massive 90-foot ancient brick mound in Narkatiaganj block, 13.58 km from Lauriya Nandangarh. West Champaran is represented by Bhitiharwa Ashram in Batch 7; held for Batch 8."
Bettiah Raj Palace Complex,West Champaran,historical,26.8012,84.5124,162,Udaipur Wildlife Sanctuary,6.36,NO,NO,NO,NO,Moderate Proximity (6.36 km from active ID 162 'Udaipur Wildlife Sanctuary'),HOLD,Historic 18th-century palace complex of the Bettiah Raj zamindari estate. Complex legal disputes and ongoing court receiver administration; held pending preservation assessment.
Tomb of Bakhtiyar Khan,Kaimur,historical,25.0354,83.5412,122,Karkatgarh Waterfall & Eco Park,5.86,NO,NO,NO,NO,Moderate Proximity (5.86 km from active ID 122 'Karkatgarh Waterfall & Eco Park'),HOLD,"State Protected medieval mausoleum in Chainpur, 5.86 km from Karkatgarh. Kaimur already has 4 active places; held for geographic balance."
Amjhar Sharif,Aurangabad,cultural,24.9854,84.5218,178,Deokund,7.24,NO,NO,NO,NO,Moderate Proximity (7.24 km from active ID 178 'Deokund'),HOLD,"Sufi shrine on official Bihar Tourism Sufi circuit, 7.22 km from Deokund. Aurangabad gained Deokund in Batch 6 (now 4 places); held for geographic balance."
Lali Pahadi Archaeological Site,Lakhisarai,historical,25.1812,86.0954,127,Ashok Dham Temple,3.45,NO,NO,NO,NO,Urban / Complex Proximity Cluster (3.45 km from active ID 127 'Ashok Dham Temple'),HOLD,"Excavated Buddhist nunnery and hilltop monastery in Jaynagar, 3.48 km from Ashok Dham. Lakhisarai gained Shringirishi Dham in Batch 6; held for later batch."
Rajauna Buddhist Archaeological Mound,Lakhisarai,historical,25.1912,86.0712,127,Ashok Dham Temple,1.73,NO,NO,NO,NO,Urban / Complex Proximity Cluster (1.73 km from active ID 127 'Ashok Dham Temple'),HOLD,"Protected Buddhist archaeological site, 1.72 km from Ashok Dham. Held due to proximity to existing active place and recent Batch 6 addition."
Ahirauli Ahilya Sthan,Buxar,temple,25.5895,83.9512,23,Battle of Buxar Memorial,4.11,NO,NO,NO,NO,Urban / Complex Proximity Cluster (4.11 km from active ID 23 'Battle of Buxar Memorial'),HOLD,Temple site 4.12 km from Battle of Buxar Memorial; Ramrekha Ghat selected as superior primary cultural riverfront anchor for Buxar in Batch 7.
Saptaparni Cave,Nalanda,historical,25.0185,85.4054,9,Rajgir (Rajagriha),1.49,NO,NO,NO,YES,Same-Complex / Clustered Component (1.49 km from ID 9 'Rajgir (Rajagriha)'),DUPLICATE/ALIAS,"Subcomponent of Rajgir hill complex (ID 9, 1.48 km); first Buddhist council cave, already subsumed under Rajgir destination."
Cyclopean Wall of Rajgir,Nalanda,historical,25.0125,85.4185,9,Rajgir (Rajagriha),1.51,NO,NO,NO,YES,Same-Complex / Clustered Component (1.51 km from ID 9 'Rajgir (Rajagriha)'),DUPLICATE/ALIAS,Ancient 40-km pre-Mauryan cyclopean stone masonry wall surrounding Rajgir; integral perimeter feature of active destination ID 9.
Rajgir Glass Bridge & Nature Safari,Nalanda,adventure,24.9815,85.3912,9,Rajgir (Rajagriha),5.63,NO,NO,NO,YES,Same-Complex / Clustered Component (5.63 km from ID 9 'Rajgir (Rajagriha)'),DUPLICATE/ALIAS,"Eco-adventure park and glass skywalk in Jethian valley, 5.58 km from Rajgir (ID 9); Nalanda already has 5 active destinations."
Papaharini Tank,Banka,lake,24.9458,86.7265,12,Mandar Hill,0.59,NO,NO,NO,YES,Same-Complex / Clustered Component (0.59 km from ID 12 'Mandar Hill'),DUPLICATE/ALIAS,"Sacred water tank situated directly at the foothills of Mandar Hill (ID 21, 0.42 km); same-site complex component."
Sujata Stupa & Kuti,Gaya,historical,24.6925,85.0028,110,Bodh Gaya Archaeological Museum,1.43,NO,NO,NO,YES,Same-Complex / Clustered Component (1.43 km from ID 110 'Bodh Gaya Archaeological Museum'),DUPLICATE/ALIAS,"Excavated brick stupa across Falgu river, 1.42 km from Bodh Gaya museum / Mahabodhi complex; tightly clustered with existing Gaya inventory."
Ranti Art Village,Madhubani,cultural,26.3685,86.0824,13,Madhubani Art Village (Jitwarpur),1.74,NO,NO,NO,YES,Same-Complex / Clustered Component (1.74 km from ID 13 'Madhubani Art Village (Jitwarpur)'),DUPLICATE/ALIAS,Mithila painting artisan village 1.72 km from Jitwarpur Art Village (ID 121); same craft cluster.
Nagarjuni Caves,Jehanabad,historical,25.0125,85.0785,5,Barabar Caves & Siddheshwar Nath,1.8,NO,NO,NO,YES,Same-Complex / Clustered Component (1.80 km from ID 5 'Barabar Caves & Siddheshwar Nath'),DUPLICATE/ALIAS,Adjacent Maurya-era cave complex 1.78 km from Barabar Caves (ID 5); part of the canonical Barabar-Nagarjuni archaeological cluster.
Arwal Bus Stand Commercial Complex,Arwal,transit,0.0,0.0,0,N/A,999.0,NO,NO,NO,NO,Rejected Commercial / Non-Tourism Infrastructure,REJECTED,Generic transit infrastructure; no tourism value
Barauni IOCL Refinery Township,Begusarai,industrial,0.0,0.0,0,N/A,999.0,NO,NO,NO,NO,Rejected Commercial / Non-Tourism Infrastructure,REJECTED,Active petrochemical industrial complex; restricted entry
Ara Sadar Hospital,Bhojpur,medical,0.0,0.0,0,N/A,999.0,NO,NO,NO,NO,Rejected Commercial / Non-Tourism Infrastructure,REJECTED,Municipal healthcare facility; zero tourism value
Buxar Central Jail,Buxar,restricted,0.0,0.0,0,N/A,999.0,NO,NO,NO,NO,Rejected Commercial / Non-Tourism Infrastructure,REJECTED,Active correctional security institution; restricted access
Samastipur Dairy Milk Plant,Samastipur,industrial,0.0,0.0,0,N/A,999.0,NO,NO,NO,NO,Rejected Commercial / Non-Tourism Infrastructure,REJECTED,Industrial dairy processing facility; commercial property
Chhapra Main Bazar Cloth Market,Saran,commercial,0.0,0.0,0,N/A,999.0,NO,NO,NO,NO,Rejected Commercial / Non-Tourism Infrastructure,REJECTED,Local commercial clothing market; generic retail
Hotel Grand Sheohar,Sheohar,commercial,0.0,0.0,0,N/A,999.0,NO,NO,NO,NO,Rejected Commercial / Non-Tourism Infrastructure,REJECTED,Commercial hotel lodging; generic business establishment
Siwan Civil Court Complex,Siwan,administrative,0.0,0.0,0,N/A,999.0,NO,NO,NO,NO,Rejected Commercial / Non-Tourism Infrastructure,REJECTED,Judicial administrative premises; zero tourism value
