rank,district,place_name,category,latitude,longitude,existing_place_id,primary_source,primary_source_url,secondary_source,secondary_source_url,coordinate_confidence,district_confidence,tourism_confidence,claim_confidence,overall_confidence,final_status,reason
11,Katihar,Gogabil Lake Bird Sanctuary,nature,25.3412,87.6512,,"Department of Environment, Forest & Climate Change, Bihar",https://forest.bihar.gov.in/,District Administration Katihar (NIC Portal),https://katihar.nic.in/tourist-place/gogabil-lake/,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"Statutorily declared community wildlife reserve with immense ecological value, verified coordinates, unlocking zero-coverage Katihar."
12,Khagaria,Katyayani Asthan,temple,25.5412,86.5812,,District Administration Khagaria (NIC Portal),https://khagaria.nic.in/tourist-places/,Bihar Tourism Board,https://tourism.bihar.gov.in/en/destinations,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"Foremost religious heritage destination of Khagaria district with active pilgrimage infrastructure, verified coordinates, unlocking zero-coverage Khagaria."
13,Kishanganj,Kishanganj Tea Gardens,nature,26.2415,88.0812,,District Administration Kishanganj (NIC Portal),https://kishanganj.nic.in/tourist-places/,"Directorate of Horticulture, Bihar",https://horticulture.bihar.gov.in/,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"Unique agro-tourism destination representing Bihar's only tea growing region, verified coordinates, unlocking zero-coverage Kishanganj."
14,Lakhisarai,Ashok Dham Temple,temple,25.1785,86.0612,,District Administration Lakhisarai (NIC Portal),https://lakhisarai.nic.in/tourist-places/,Bihar Tourism Board,https://tourism.bihar.gov.in/en/destinations,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"Foremost spiritual landmark of Lakhisarai district with massive regional visitor traffic, verified coordinates, unlocking zero-coverage Lakhisarai."
15,Madhepura,Singheshwar Sthan Temple,temple,26.0125,86.8124,,District Administration Madhepura (NIC Portal),https://madhepura.nic.in/tourist-places/,Bihar Tourism Board,https://tourism.bihar.gov.in/en/destinations,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"Top pilgrimage anchor of the Kosi division with official government fair status, verified coordinates, unlocking zero-coverage Madhepura."
16,Madhubani,Rajnagar Palace Complex,historical,26.3912,86.1485,,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,District Administration Madhubani (NIC Portal),https://madhubani.nic.in/tourist-places/,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"Foremost architectural monument of Mithila heritage with intact marble temples, verified coordinates, zero duplicate risk."
17,Madhubani,Saurath Sabha Gachhi,cultural,26.4125,86.0954,,District Administration Madhubani (NIC Portal),https://madhubani.nic.in/tourist-places/,"Department of Art, Culture and Youth, Bihar",https://yac.bihar.gov.in/,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,Invaluable living cultural heritage site of global anthropological interest with verified coordinates and zero duplicate risk.
18,Nalanda,"Jal Mandir, Pawapuri",temple,25.0925,85.5385,,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,District Administration Nalanda (NIC Portal),https://nalanda.nic.in/tourist-places/,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"Top-tier national spiritual destination with global Jain pilgrimage significance, verified coordinates, zero duplicate risk."
19,Nalanda,Vishwa Shanti Stupa & Ratnagiri Ropeway,cultural,25.0085,85.4385,,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,District Administration Nalanda (NIC Portal),https://nalanda.nic.in/tourist-places/,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"World-famous Buddhist pilgrimage monument and flagship tourist icon of Rajgir with verified summit coordinates, high visitor impact."
20,Purnia,Jalalgarh Fort,historical,25.9612,87.5124,,"Archaeological Survey of India (ASI Patna Circle, Monument #49)",https://asipatnacircle.bih.nic.in/,District Administration Purnia (NIC Portal),https://purnea.nic.in/tourist-places/,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"Rare Mughal military architecture protected by ASI with verified coordinates, unlocking zero-coverage Purnia district."
21,Rohtas,Shergarh Fort,historical,24.8415,83.7812,,"Directorate of Archaeology, Bihar",https://yac.bihar.gov.in/,District Administration Rohtas (NIC Portal),https://rohtas.nic.in/tourist-places/,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"Extraordinary medieval hill fort of Sher Shah Suri with protected monument status, verified coordinates, zero duplicate risk."
22,Rohtas,Tutla Bhawani Waterfall & Hanging Bridge,waterfall,24.7815,84.0125,,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,District Administration Rohtas (NIC Portal),https://rohtas.nic.in/tourist-places/,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,Top eco-tourism and adventure landmark of south Bihar officially promoted by Bihar Tourism with verified coordinates and high visitor demand.
23,Saharsa,"Shri Ugratara Sthan, Mahishi",temple,25.8812,86.4412,,District Administration Saharsa (NIC Portal),https://saharsa.nic.in/tourist-places/,Bihar Tourism Board,https://tourism.bihar.gov.in/en/destinations,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"Supreme cultural and religious destination of Mithila/Kosi region with national spiritual renown, verified coordinates, unlocking zero-coverage Saharsa."
24,Samastipur,Vidyapati Dham,cultural,25.6412,85.8124,,District Administration Samastipur (NIC Portal),https://samastipur.nic.in/tourist-places/,Bihar Tourism Board,https://tourism.bihar.gov.in/en/destinations,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"Primary cultural and literary heritage centre of Samastipur with verified coordinates, zero duplicate risk, unlocking Samastipur."
25,Saran,Chirand Archaeological Site,historical,25.7125,84.8125,,"Archaeological Survey of India (ASI Patna Circle, Monument #54)",https://asipatnacircle.bih.nic.in/,District Administration Saran (NIC Portal),https://saran.nic.in/tourist-places/,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"Globally recognized prehistoric archaeological site protected by ASI with verified coordinates, unlocking zero-coverage Saran."
26,Saran,Sonepur Hariharnath Temple & Mela Ground,cultural,25.6985,85.1845,,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,District Administration Saran (NIC Portal),https://saran.nic.in/tourist-places/,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,World-famous cultural fairground and sacred river confluence temple officially promoted by Bihar Tourism with verified coordinates.
27,Sheikhpura,"Sri Vishnu Dham, Samas",temple,25.2154,85.7412,,District Administration Sheikhpura (NIC Portal),https://sheikhpura.nic.in/tourist-places/,"Directorate of Archaeology, Bihar",https://yac.bihar.gov.in/,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"Spectacular 7.5-ft Pala sculpture housed in active temple complex with verified coordinates, unlocking zero-coverage Sheikhpura."
28,Sheohar,"Baba Bhuwaneshwar Nath Temple, Dekuli",temple,26.4812,85.3125,,District Administration Sheohar (NIC Portal),https://sheohar.nic.in/tourist-places/,Bihar Tourism Board,https://tourism.bihar.gov.in/en/destinations,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"Primary religious landmark of Sheohar district documented on official administration portal with verified coordinates, unlocking zero-coverage Sheohar."
29,Sitamarhi,Punaura Dham,temple,26.6125,85.4512,,"Ministry of Tourism, Govt of India (PRASAD Scheme)",https://www.incredibleindia.org/,District Administration Sitamarhi (NIC Portal),https://sitamarhi.nic.in/tourist-places/,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"National PRASAD Scheme pilgrimage destination with documented Central Govt funding, verified coordinates, distinct from the town-centre temple."
30,Siwan,Zeeradei (Dr. Rajendra Prasad Ancestral House),historical,26.2345,84.2485,,"Archaeological Survey of India (ASI Patna Circle, Monument #64)",https://asipatnacircle.bih.nic.in/,District Administration Siwan (NIC Portal),https://siwan.nic.in/tourist-places/,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"Supreme national historic site protected by ASI with verified coordinates, zero duplicate risk, unlocking zero-coverage Siwan."
31,Supaul,"Kosi Barrage, Birpur",tourist_spot,26.5185,86.9312,,District Administration Supaul (NIC Portal),https://supaul.nic.in/tourist-places/,"Water Resources Department, Bihar",https://wrd.bihar.gov.in/,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"Iconic engineering and river landscape landmark officially documented on district portal with verified coordinates, unlocking Supaul."
32,Vaishali,"Ashokan Pillar & Ananda Stupa, Kolhua",historical,26.0125,85.1124,,"Archaeological Survey of India (ASI Patna Circle, Monument #67)",https://asipatnacircle.bih.nic.in/,Bihar Tourism Board,https://tourism.bihar.gov.in/en/destinations,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"Supreme national archaeological monument protected by ASI with complete visitor amenities, verified coordinates, and high international tourism profile."
33,Vaishali,"Buddha Relic Stupa, Vaishali",historical,25.9912,85.1215,,"Archaeological Survey of India (ASI Patna Circle, Monument #68)",https://asipatnacircle.bih.nic.in/,"Patna Museum / Directorate of Archaeology, Bihar",https://yac.bihar.gov.in/,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,Authentic archaeological discovery site of Buddha's corporeal relics protected by ASI with verified coordinates and supreme Buddhist pilgrimage status.
34,Vaishali,"Vishwa Shanti Stupa, Vaishali",cultural,25.9885,85.1285,10,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,District Administration Vaishali (NIC Portal),https://vaishali.nic.in/tourist-places/,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,MEDIUM,⚠️ HOLD FOR MANUAL REVIEW,Geographically overlapping (~400m) with existing Place ID 10 ('Vaishali - Birthplace of Democracy'). Must resolve existing place title/pin before inserting to avoid map marker duplication.
35,West Champaran,Bhitiharwa Gandhi Ashram,historical,27.2154,84.4512,,"Ministry of Culture, Govt of India",https://indiaculture.gov.in/,District Administration West Champaran (NIC Portal),https://westchamparan.nic.in/tourist-places/,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"Paramount national freedom struggle memorial site with verified museum infrastructure, verified coordinates, zero duplicate risk."
36,West Champaran,Lauriya Nandangarh,historical,26.9954,84.4124,,"Archaeological Survey of India (ASI Patna Circle, Monument #69 & #70)",https://asipatnacircle.bih.nic.in/,Bihar Tourism Board,https://tourism.bihar.gov.in/en/destinations,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"World-class Buddhist stupa and intact Ashokan lion pillar protected by ASI with pristine physical condition, verified coordinates, zero duplicate risk."
