full_path,filename,extension,size_bytes,category,purpose,referenced_by,dependencies,safe_to_move,is_temporary,secret_present
D:\HiddenYatra\BIHAR_BATCH9_DISTRICT_CATEGORY_ANALYSIS.md,BIHAR_BATCH9_DISTRICT_CATEGORY_ANALYSIS.md,.md,6394,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py; scratch/generate_batch9_markdown_artifacts.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_BATCH9_OVERLAP_AUDIT.csv,BIHAR_BATCH9_OVERLAP_AUDIT.csv,.csv,4682,O. GENERATED REPORTS,"Audit, fact-check, or candidate review CSV report",scratch/generate_all_structure_audit_reports.py; scratch/generate_batch9_artifacts.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_BATCH9_SOURCE_LOG.md,BIHAR_BATCH9_SOURCE_LOG.md,.md,16479,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py; scratch/generate_batch9_markdown_artifacts.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_DISTRICT_COVERAGE.csv,BIHAR_DISTRICT_COVERAGE.csv,.csv,1013,I. DATA / SEED,Tabular data or candidate queue CSV,No direct code references found,None,YES (SAFE TO MOVE),NO,NO
D:\HiddenYatra\BIHAR_DUPLICATE_REVIEW.csv,BIHAR_DUPLICATE_REVIEW.csv,.csv,5447,I. DATA / SEED,Tabular data or candidate queue CSV,No direct code references found,None,YES (SAFE TO MOVE),NO,NO
D:\HiddenYatra\BIHAR_P0_BATCH2_APPROVAL_PREVIEW.csv,BIHAR_P0_BATCH2_APPROVAL_PREVIEW.csv,.csv,8994,O. GENERATED REPORTS,"Audit, fact-check, or candidate review CSV report",No direct code references found,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_P0_BATCH2_APPROVAL_PREVIEW.md,BIHAR_P0_BATCH2_APPROVAL_PREVIEW.md,.md,28359,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",No direct code references found,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_P0_DISTRICT_IMPACT.csv,BIHAR_P0_DISTRICT_IMPACT.csv,.csv,829,I. DATA / SEED,Tabular data or candidate queue CSV,BIHAR_P0_FINAL_APPROVAL.md,None,YES (SAFE TO MOVE),NO,NO
D:\HiddenYatra\BIHAR_P0_FINAL_APPROVAL.csv,BIHAR_P0_FINAL_APPROVAL.csv,.csv,16482,I. DATA / SEED,Tabular data or candidate queue CSV,No direct code references found,None,YES (SAFE TO MOVE),NO,NO
D:\HiddenYatra\BIHAR_P0_FINAL_APPROVAL.md,BIHAR_P0_FINAL_APPROVAL.md,.md,65031,L. DOCUMENTATION,Documentation or notes markdown,No direct code references found,None,YES (SAFE TO MOVE),NO,NO
D:\HiddenYatra\BIHAR_PHASE2_SOURCE_LOG.md,BIHAR_PHASE2_SOURCE_LOG.md,.md,6434,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",No direct code references found,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_PHASE2_VERIFICATION_REPORT.md,BIHAR_PHASE2_VERIFICATION_REPORT.md,.md,224634,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_PLACE_MASTER_CANDIDATES.csv,BIHAR_PLACE_MASTER_CANDIDATES.csv,.csv,117621,I. DATA / SEED,Tabular data or candidate queue CSV,scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),NO,NO
D:\HiddenYatra\BIHAR_PRIORITY_APPROVAL_QUEUE.csv,BIHAR_PRIORITY_APPROVAL_QUEUE.csv,.csv,66294,I. DATA / SEED,Tabular data or candidate queue CSV,BIHAR_PHASE2_VERIFICATION_REPORT.md; scratch/analyze_candidate_pool.py; scratch/check_remaining_priority.py; scratch/generate_all_structure_audit_reports.py; scratch/inspect_candidates_detail.py,None,YES (SAFE TO MOVE),NO,NO
D:\HiddenYatra\BIHAR_REJECTED_PLACES.csv,BIHAR_REJECTED_PLACES.csv,.csv,2969,I. DATA / SEED,Tabular data or candidate queue CSV,No direct code references found,None,YES (SAFE TO MOVE),NO,NO
D:\HiddenYatra\BIHAR_SOURCE_LOG.md,BIHAR_SOURCE_LOG.md,.md,15407,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",No direct code references found,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BUG_BACKLOG.md,BUG_BACKLOG.md,.md,1048,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",No direct code references found,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\CHANGELOG.md,CHANGELOG.md,.md,3502,L. DOCUMENTATION,"Project architecture, installation, or user documentation",scratch/comprehensive_structure_auditor.py; scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),NO,NO
D:\HiddenYatra\CODE_SMELLS.md,CODE_SMELLS.md,.md,1058,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",No direct code references found,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\config.py,config.py,.py,3899,M. CONFIGURATION,Core application or environment configuration,docs/DeveloperGuide.md; scratch/comprehensive_structure_auditor.py; scratch/generate_all_structure_audit_reports.py,import os; import secrets; from dotenv import load_dotenv,NO (MUST REMAIN IN ROOT),NO,YES
D:\HiddenYatra\DEPLOYMENT.md,DEPLOYMENT.md,.md,1719,L. DOCUMENTATION,"Project architecture, installation, or user documentation",scratch/comprehensive_structure_auditor.py; scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),NO,YES
D:\HiddenYatra\docker-compose.yml,docker-compose.yml,.yml,2543,N. DEPLOYMENT,"Production deployment, container, or server configuration",.dockerignore; TECH_DEBT.md; docs/HACKATHON_JUDGING_PACKAGE.md; scratch/comprehensive_structure_auditor.py; scratch/generate_all_structure_audit_reports.py,None,NO (MUST REMAIN IN ROOT),NO,YES
D:\HiddenYatra\Dockerfile,Dockerfile,,1752,N. DEPLOYMENT,"Production deployment, container, or server configuration",.dockerignore; TECH_DEBT.md; docs/HACKATHON_JUDGING_PACKAGE.md; scratch/comprehensive_structure_auditor.py; scratch/generate_all_structure_audit_reports.py,None,NO (MUST REMAIN IN ROOT),NO,NO
D:\HiddenYatra\FINAL_ENGINEERING_REPORT.md,FINAL_ENGINEERING_REPORT.md,.md,8325,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\FINAL_PRE_SUBMISSION_AUDIT.md,FINAL_PRE_SUBMISSION_AUDIT.md,.md,17326,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\FIXES.md,FIXES.md,.md,4521,L. DOCUMENTATION,Documentation or notes markdown,No direct code references found,None,YES (SAFE TO MOVE),NO,NO
D:\HiddenYatra\gunicorn.conf.py,gunicorn.conf.py,.py,1774,N. DEPLOYMENT,"Production deployment, container, or server configuration",DEPLOYMENT.md; Dockerfile; FINAL_ENGINEERING_REPORT.md; render.yaml; TECH_DEBT.md,import multiprocessing; import os,NO (MUST REMAIN IN ROOT),NO,NO
D:\HiddenYatra\hiddenyatra_OLD_RECOVERY_FULL.sql,hiddenyatra_OLD_RECOVERY_FULL.sql,.sql,319118,H. DATABASE,"SQL database schema, migration, or backup dump",scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),NO,NO
D:\HiddenYatra\HiddenYatra_Updated_Presentation.pptx,HiddenYatra_Updated_Presentation.pptx,.pptx,18873998,L. DOCUMENTATION,Project presentation pitch deck,scratch/generate_all_structure_audit_reports.py,None,REVIEW,NO,NO
D:\HiddenYatra\INSTALL.md,INSTALL.md,.md,1518,L. DOCUMENTATION,"Project architecture, installation, or user documentation",scratch/comprehensive_structure_auditor.py; scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),NO,YES
D:\HiddenYatra\JEHANABAD_38_OF_38_REGRESSION_REPORT.md,JEHANABAD_38_OF_38_REGRESSION_REPORT.md,.md,12688,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",No direct code references found,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\JEHANABAD_CANDIDATE_REVIEW.csv,JEHANABAD_CANDIDATE_REVIEW.csv,.csv,2747,I. DATA / SEED,Tabular data or candidate queue CSV,JEHANABAD_FINAL_VERIFICATION.md,None,YES (SAFE TO MOVE),NO,NO
D:\HiddenYatra\JEHANABAD_FINAL_VERIFICATION.md,JEHANABAD_FINAL_VERIFICATION.md,.md,12415,L. DOCUMENTATION,Documentation or notes markdown,No direct code references found,None,YES (SAFE TO MOVE),NO,NO
D:\HiddenYatra\KNOWN_LIMITATIONS.md,KNOWN_LIMITATIONS.md,.md,1383,L. DOCUMENTATION,Documentation or notes markdown,No direct code references found,None,YES (SAFE TO MOVE),NO,NO
D:\HiddenYatra\MAP_FIX_CHANGELOG.md,MAP_FIX_CHANGELOG.md,.md,11298,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\MAP_FIX_TEST_REPORT.md,MAP_FIX_TEST_REPORT.md,.md,16123,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\my.ini,my.ini,.ini,101,M. CONFIGURATION,Core application or environment configuration,.gitignore; scratch/comprehensive_structure_auditor.py; scratch/generate_all_structure_audit_reports.py; scripts/register_mysql_service.cmd; scripts/register_mysql_service.ps1,None,REVIEW,NO,YES
D:\HiddenYatra\mysql84_start_log.txt,mysql84_start_log.txt,.txt,1087,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",.gitignore; scratch/generate_all_structure_audit_reports.py,None,REVIEW,YES,NO
D:\HiddenYatra\mysql84_stderr.log,mysql84_stderr.log,.log,1087,Q. UNKNOWN / MANUAL REVIEW,Unclassified file requiring manual inspection,.gitignore; scratch/generate_all_structure_audit_reports.py,None,REVIEW,YES,NO
D:\HiddenYatra\mysql_data_BACKUP_20260809_team_setup.sql,mysql_data_BACKUP_20260809_team_setup.sql,.sql,365634,H. DATABASE,"SQL database schema, migration, or backup dump",scratch/convert_backup.ps1; scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\mysql_reset.sql,mysql_reset.sql,.sql,66,H. DATABASE,"SQL database schema, migration, or backup dump",No direct code references found,None,YES (SAFE TO MOVE),NO,NO
D:\HiddenYatra\PERFORMANCE_REPORT.md,PERFORMANCE_REPORT.md,.md,1804,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\PERFORMANCE_TODO.md,PERFORMANCE_TODO.md,.md,836,L. DOCUMENTATION,Documentation or notes markdown,No direct code references found,None,YES (SAFE TO MOVE),NO,NO
D:\HiddenYatra\PHASE5_MASTER_CANDIDATE_QUEUE.csv,PHASE5_MASTER_CANDIDATE_QUEUE.csv,.csv,57336,I. DATA / SEED,Tabular data or candidate queue CSV,PHASE5_TOP30_RECOMMENDATIONS.md; scratch/analyze_batch7_candidates.py; scratch/analyze_candidate_pool.py; scratch/batch5_candidate_pool.py; scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),NO,NO
D:\HiddenYatra\PHASE5_TOP30_RECOMMENDATIONS.md,PHASE5_TOP30_RECOMMENDATIONS.md,.md,42592,L. DOCUMENTATION,Documentation or notes markdown,PHASE6_TOP30_FACTCHECK.md; scratch/generate_factcheck_md.py,None,YES (SAFE TO MOVE),NO,NO
D:\HiddenYatra\PHASE6_TOP30_FACTCHECK.csv,PHASE6_TOP30_FACTCHECK.csv,.csv,12924,O. GENERATED REPORTS,"Audit, fact-check, or candidate review CSV report",PHASE6_TOP30_FACTCHECK.md; scratch/analyze_candidate_pool.py; scratch/batch4_analysis.py; scratch/check_remaining_candidates.py; scratch/generate_factcheck_md.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\PHASE6_TOP30_FACTCHECK.md,PHASE6_TOP30_FACTCHECK.md,.md,81740,L. DOCUMENTATION,Documentation or notes markdown,scratch/generate_factcheck_md.py; scratch/inspect_candidate_details.py,None,YES (SAFE TO MOVE),NO,NO
D:\HiddenYatra\PHASE6_TOP30_SOURCE_LOG.md,PHASE6_TOP30_SOURCE_LOG.md,.md,12669,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",PHASE6_TOP30_FACTCHECK.md; scratch/generate_factcheck_md.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\POST_BATCH1_REGRESSION_REPORT.md,POST_BATCH1_REGRESSION_REPORT.md,.md,14701,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\POST_BATCH2_REGRESSION_REPORT.md,POST_BATCH2_REGRESSION_REPORT.md,.md,13295,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\POST_BATCH3_REGRESSION_REPORT.md,POST_BATCH3_REGRESSION_REPORT.md,.md,14054,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\POST_BATCH4_REGRESSION_REPORT.md,POST_BATCH4_REGRESSION_REPORT.md,.md,12792,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\POST_BATCH5_REGRESSION_REPORT.md,POST_BATCH5_REGRESSION_REPORT.md,.md,13626,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\POST_BATCH6_REGRESSION_REPORT.md,POST_BATCH6_REGRESSION_REPORT.md,.md,18592,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py; scratch/generate_post_batch6_report.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\POST_BATCH7_REGRESSION_REPORT.md,POST_BATCH7_REGRESSION_REPORT.md,.md,14535,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\POST_BATCH8_REGRESSION_REPORT.md,POST_BATCH8_REGRESSION_REPORT.md,.md,18241,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\README.md,README.md,.md,5503,L. DOCUMENTATION,"Project architecture, installation, or user documentation",docs/HACKATHON_JUDGING_PACKAGE.md; scratch/audit_upstream_license.py; scratch/comprehensive_structure_auditor.py; scratch/generate_all_structure_audit_reports.py,None,NO (MUST REMAIN IN ROOT),NO,NO
D:\HiddenYatra\REFACTOR_PLAN.md,REFACTOR_PLAN.md,.md,1134,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",No direct code references found,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\render.yaml,render.yaml,.yaml,1671,N. DEPLOYMENT,"Production deployment, container, or server configuration",.dockerignore; scratch/comprehensive_structure_auditor.py; scratch/generate_all_structure_audit_reports.py,None,NO (MUST REMAIN IN ROOT),NO,NO
